date,/g/1ym82y1nc_0,/g/1ym82y1nc,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,90.0,90.0,1
2021-02-03,90.0,90.0,1
2021-02-04,47.0,47.0,1
2021-02-05,26.0,26.0,1
2021-02-06,5.0,5.0,1
2021-02-07,0.0,0.0,1
2021-02-08,20.0,20.0,1
2021-02-09,20.0,20.0,1
2021-02-10,5.0,5.0,1
2021-02-11,5.0,5.0,1
2021-02-12,16.0,16.0,1
2021-02-13,6.0,6.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,5.0,5.0,1
2021-02-17,15.0,15.0,1
2021-02-18,21.0,21.0,1
2021-02-19,22.0,22.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,5.0,5.0,1
2021-02-23,5.0,5.0,1
2021-02-24,16.0,16.0,1
2021-02-25,42.0,42.0,1
2021-02-26,21.0,21.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,20.0,20.0,1
2021-03-02,10.0,10.0,1
2021-03-03,5.0,5.0,1
2021-03-04,5.0,5.0,1
2021-03-05,21.0,21.0,1
2021-03-06,12.0,12.0,1
2021-03-07,0.0,0.0,1
2021-03-08,15.0,15.0,1
2021-03-09,20.0,20.0,1
2021-03-10,26.0,26.0,1
2021-03-11,15.0,15.0,1
2021-03-12,10.0,10.0,1
2021-03-13,0.0,0.0,1
2021-03-14,5.0,5.0,1
2021-03-15,12.0,12.0,1
2021-03-16,31.0,31.0,1
2021-03-17,0.0,0.0,1
2021-03-18,0.0,0.0,1
2021-03-19,16.0,16.0,1
2021-03-20,6.0,6.0,1
2021-03-21,0.0,0.0,1
2021-03-22,15.0,15.0,1
2021-03-23,5.0,5.0,1
2021-03-24,0.0,0.0,1
2021-03-25,10.0,10.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,6.0,6.0,1
2021-03-31,11.0,11.0,1
2021-04-01,5.0,5.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,6.0,6.0,1
2021-04-05,11.0,11.0,1
2021-04-06,5.0,5.0,1
2021-04-07,0.0,0.0,1
2021-04-08,10.0,10.0,1
2021-04-09,11.0,11.0,1
2021-04-10,11.0,11.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,10.0,10.0,1
2021-04-15,10.0,10.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,5.0,5.0,1
2021-04-20,0.0,0.0,1
2021-04-21,10.0,10.0,1
2021-04-22,0.0,0.0,1
2021-04-23,17.0,17.0,1
2021-04-24,0.0,0.0,1
2021-04-25,6.0,6.0,1
2021-04-26,10.0,10.0,1
2021-04-27,11.0,11.0,1
2021-04-28,31.0,31.0,1
2021-04-29,5.0,5.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,5.0,5.0,1
2021-05-05,5.0,5.0,1
2021-05-06,5.0,5.0,1
2021-05-07,5.0,5.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,5.0,5.0,1
2021-05-11,5.0,5.0,1
2021-05-12,15.0,15.0,1
2021-05-13,11.0,11.0,1
2021-05-14,22.0,22.0,1
