date,/m/06pj2k
2020-02-01,42
2020-02-02,22
2020-02-03,27
2020-02-04,31
2020-02-05,20
2020-02-06,35
2020-02-07,43
2020-02-08,67
2020-02-09,25
2020-02-10,42
2020-02-11,18
2020-02-12,30
2020-02-13,49
2020-02-14,42
2020-02-15,39
2020-02-16,39
2020-02-17,65
2020-02-18,56
2020-02-19,35
2020-02-20,34
2020-02-21,35
2020-02-22,48
2020-02-23,34
2020-02-24,39
2020-02-25,51
2020-02-26,24
2020-02-27,17
2020-02-28,44
2020-02-29,64
2020-03-01,100
2020-03-02,46
2020-03-03,30
2020-03-04,56
2020-03-05,48
2020-03-06,44
2020-03-07,48
2020-03-08,52
2020-03-09,25
2020-03-10,25
2020-03-11,49
2020-03-12,37
2020-03-13,20
2020-03-14,23
2020-03-15,27
2020-03-16,24
2020-03-17,12
2020-03-18,41
2020-03-19,16
2020-03-20,19
2020-03-21,72
2020-03-22,70
2020-03-23,61
2020-03-24,43
2020-03-25,40
2020-03-26,59
2020-03-27,58
2020-03-28,34
2020-03-29,41
2020-03-30,29
2020-03-31,58
2020-04-01,68
2020-04-02,44
2020-04-03,41
2020-04-04,52
2020-04-05,46
2020-04-06,49
2020-04-07,43
2020-04-08,24
2020-04-09,36
2020-04-10,44
2020-04-11,40
2020-04-12,69
2020-04-13,29
2020-04-14,33
2020-04-15,23
2020-04-16,55
2020-04-17,43
2020-04-18,39
2020-04-19,47
2020-04-20,44
2020-04-21,34
2020-04-22,27
2020-04-23,50
2020-04-24,30
2020-04-25,55
2020-04-26,47
2020-04-27,35
2020-04-28,35
2020-04-29,43
2020-04-30,49
2020-05-01,55
2020-05-02,42
2020-05-03,52
2020-05-04,38
2020-05-05,48
2020-05-06,27
2020-05-07,44
2020-05-08,36
2020-05-09,26
2020-05-10,45
2020-05-11,28
2020-05-12,72
2020-05-13,71
2020-05-14,38
2020-05-15,36
2020-05-16,39
2020-05-17,41
2020-05-18,54
2020-05-19,43
2020-05-20,12
2020-05-21,40
2020-05-22,34
2020-05-23,16
2020-05-24,48
2020-05-25,37
2020-05-26,35
2020-05-27,50
2020-05-28,35
2020-05-29,61
2020-05-30,44
2020-05-31,76
