date,/m/013y7y
2020-02-01,41
2020-02-02,23
2020-02-03,34
2020-02-04,62
2020-02-05,47
2020-02-06,36
2020-02-07,25
2020-02-08,50
2020-02-09,22
2020-02-10,59
2020-02-11,46
2020-02-12,68
2020-02-13,70
2020-02-14,98
2020-02-15,25
2020-02-16,46
2020-02-17,45
2020-02-18,53
2020-02-19,57
2020-02-20,47
2020-02-21,49
2020-02-22,25
2020-02-23,36
2020-02-24,45
2020-02-25,22
2020-02-26,57
2020-02-27,65
2020-02-28,34
2020-02-29,36
2020-03-01,0
2020-03-02,87
2020-03-03,30
2020-03-04,45
2020-03-05,34
2020-03-06,46
2020-03-07,37
2020-03-08,23
2020-03-09,33
2020-03-10,33
2020-03-11,86
2020-03-12,42
2020-03-13,31
2020-03-14,24
2020-03-15,24
2020-03-16,41
2020-03-17,28
2020-03-18,63
2020-03-19,42
2020-03-20,100
2020-03-21,44
2020-03-22,34
2020-03-23,37
2020-03-24,31
2020-03-25,31
2020-03-26,34
2020-03-27,19
2020-03-28,37
2020-03-29,21
2020-03-30,47
2020-03-31,28
2020-04-01,72
2020-04-02,38
2020-04-03,39
2020-04-04,34
2020-04-05,56
2020-04-06,66
2020-04-07,54
2020-04-08,35
2020-04-09,49
2020-04-10,52
2020-04-11,31
2020-04-12,45
2020-04-13,33
2020-04-14,39
2020-04-15,20
2020-04-16,93
2020-04-17,48
2020-04-18,41
2020-04-19,21
2020-04-20,58
2020-04-21,73
2020-04-22,55
2020-04-23,40
2020-04-24,40
2020-04-25,0
2020-04-26,55
2020-04-27,40
2020-04-28,25
2020-04-29,28
2020-04-30,30
2020-05-01,19
2020-05-02,33
2020-05-03,56
2020-05-04,54
2020-05-05,36
2020-05-06,26
2020-05-07,41
2020-05-08,31
2020-05-09,34
2020-05-10,43
2020-05-11,28
2020-05-12,20
2020-05-13,29
2020-05-14,46
2020-05-15,31
2020-05-16,23
2020-05-17,95
2020-05-18,61
2020-05-19,41
2020-05-20,41
2020-05-21,46
2020-05-22,20
2020-05-23,28
2020-05-24,35
2020-05-25,39
2020-05-26,40
2020-05-27,30
2020-05-28,47
2020-05-29,53
2020-05-30,35
2020-05-31,59
