date,/m/09jc2n
2020-02-01,84
2020-02-02,71
2020-02-03,88
2020-02-04,73
2020-02-05,62
2020-02-06,84
2020-02-07,48
2020-02-08,65
2020-02-09,58
2020-02-10,77
2020-02-11,60
2020-02-12,41
2020-02-13,88
2020-02-14,51
2020-02-15,52
2020-02-16,88
2020-02-17,100
2020-02-18,88
2020-02-19,53
2020-02-20,80
2020-02-21,44
2020-02-22,59
2020-02-23,46
2020-02-24,28
2020-02-25,62
2020-02-26,89
2020-02-27,51
2020-02-28,74
2020-02-29,75
2020-03-01,78
2020-03-02,64
2020-03-03,31
2020-03-04,56
2020-03-05,75
2020-03-06,60
2020-03-07,34
2020-03-08,41
2020-03-09,57
2020-03-10,63
2020-03-11,33
2020-03-12,41
2020-03-13,29
2020-03-14,42
2020-03-15,52
2020-03-16,57
2020-03-17,53
2020-03-18,38
2020-03-19,41
2020-03-20,53
2020-03-21,61
2020-03-22,67
2020-03-23,44
2020-03-24,45
2020-03-25,43
2020-03-26,56
2020-03-27,50
2020-03-28,73
2020-03-29,70
2020-03-30,61
2020-03-31,68
2020-04-01,35
2020-04-02,53
2020-04-03,56
2020-04-04,60
2020-04-05,56
2020-04-06,60
2020-04-07,62
2020-04-08,71
2020-04-09,40
2020-04-10,43
2020-04-11,70
2020-04-12,69
2020-04-13,46
2020-04-14,34
2020-04-15,67
2020-04-16,51
2020-04-17,60
2020-04-18,28
2020-04-19,60
2020-04-20,56
2020-04-21,64
2020-04-22,48
2020-04-23,47
2020-04-24,44
2020-04-25,61
2020-04-26,97
2020-04-27,30
2020-04-28,46
2020-04-29,39
2020-04-30,38
2020-05-01,67
2020-05-02,50
2020-05-03,87
2020-05-04,70
2020-05-05,64
2020-05-06,52
2020-05-07,34
2020-05-08,60
2020-05-09,78
2020-05-10,73
2020-05-11,56
2020-05-12,70
2020-05-13,70
2020-05-14,52
2020-05-15,68
2020-05-16,66
2020-05-17,58
2020-05-18,56
2020-05-19,70
2020-05-20,37
2020-05-21,57
2020-05-22,51
2020-05-23,72
2020-05-24,64
2020-05-25,43
2020-05-26,59
2020-05-27,72
2020-05-28,74
2020-05-29,46
2020-05-30,41
2020-05-31,42
