date,/m/0j5fv
2020-02-01,0
2020-02-02,20
2020-02-03,43
2020-02-04,39
2020-02-05,50
2020-02-06,31
2020-02-07,41
2020-02-08,32
2020-02-09,19
2020-02-10,37
2020-02-11,48
2020-02-12,29
2020-02-13,30
2020-02-14,31
2020-02-15,64
2020-02-16,57
2020-02-17,48
2020-02-18,48
2020-02-19,66
2020-02-20,39
2020-02-21,31
2020-02-22,64
2020-02-23,71
2020-02-24,37
2020-02-25,38
2020-02-26,72
2020-02-27,36
2020-02-28,60
2020-02-29,20
2020-03-01,96
2020-03-02,47
2020-03-03,48
2020-03-04,38
2020-03-05,38
2020-03-06,39
2020-03-07,84
2020-03-08,49
2020-03-09,73
2020-03-10,46
2020-03-11,36
2020-03-12,53
2020-03-13,49
2020-03-14,70
2020-03-15,100
2020-03-16,52
2020-03-17,53
2020-03-18,54
2020-03-19,61
2020-03-20,76
2020-03-21,83
2020-03-22,58
2020-03-23,72
2020-03-24,68
2020-03-25,62
2020-03-26,52
2020-03-27,88
2020-03-28,83
2020-03-29,71
2020-03-30,56
2020-03-31,71
2020-04-01,58
2020-04-02,16
2020-04-03,89
2020-04-04,68
2020-04-05,91
2020-04-06,42
2020-04-07,26
2020-04-08,78
2020-04-09,18
2020-04-10,71
2020-04-11,29
2020-04-12,28
2020-04-13,0
2020-04-14,24
2020-04-15,26
2020-04-16,35
2020-04-17,43
2020-04-18,52
2020-04-19,44
2020-04-20,49
2020-04-21,68
2020-04-22,77
2020-04-23,67
2020-04-24,33
2020-04-25,56
2020-04-26,30
2020-04-27,67
2020-04-28,31
2020-04-29,32
2020-04-30,31
2020-05-01,41
2020-05-02,67
2020-05-03,62
2020-05-04,46
2020-05-05,38
2020-05-06,67
2020-05-07,61
2020-05-08,17
2020-05-09,38
2020-05-10,53
2020-05-11,31
2020-05-12,66
2020-05-13,49
2020-05-14,17
2020-05-15,52
2020-05-16,58
2020-05-17,79
2020-05-18,17
2020-05-19,34
2020-05-20,44
2020-05-21,48
2020-05-22,16
2020-05-23,0
2020-05-24,79
2020-05-25,33
2020-05-26,43
2020-05-27,68
2020-05-28,17
2020-05-29,26
2020-05-30,29
2020-05-31,59
