date,/m/047lrh1_0,/m/047lrh1,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,38.0,38.0,1
2021-02-03,19.0,19.0,1
2021-02-04,0.0,0.0,1
2021-02-05,20.0,20.0,1
2021-02-06,0.0,0.0,1
2021-02-07,42.0,42.0,1
2021-02-08,38.0,38.0,1
2021-02-09,19.0,19.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,22.0,22.0,1
2021-02-15,19.0,19.0,1
2021-02-16,0.0,0.0,1
2021-02-17,39.0,39.0,1
2021-02-18,0.0,0.0,1
2021-02-19,21.0,21.0,1
2021-02-20,0.0,0.0,1
2021-02-21,24.0,24.0,1
2021-02-22,0.0,0.0,1
2021-02-23,20.0,20.0,1
2021-02-24,0.0,0.0,1
2021-02-25,0.0,0.0,1
2021-02-26,20.0,20.0,1
2021-02-27,22.0,22.0,1
2021-02-28,0.0,0.0,1
2021-03-01,58.0,58.0,1
2021-03-02,20.0,20.0,1
2021-03-03,20.0,20.0,1
2021-03-04,0.0,0.0,1
2021-03-05,0.0,0.0,1
2021-03-06,23.0,23.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,19.0,19.0,1
2021-03-10,0.0,0.0,1
2021-03-11,20.0,20.0,1
2021-03-12,20.0,20.0,1
2021-03-13,21.0,21.0,1
2021-03-14,0.0,0.0,1
2021-03-15,15.0,15.0,1
2021-03-16,17.0,17.0,1
2021-03-17,19.0,19.0,1
2021-03-18,39.0,39.0,1
2021-03-19,41.0,41.0,1
2021-03-20,23.0,23.0,1
2021-03-21,64.0,64.0,1
2021-03-22,39.0,39.0,1
2021-03-23,0.0,0.0,1
2021-03-24,19.0,19.0,1
2021-03-25,60.0,60.0,1
2021-03-26,41.0,41.0,1
2021-03-27,65.0,65.0,1
2021-03-28,0.0,0.0,1
2021-03-29,41.0,41.0,1
2021-03-30,21.0,21.0,1
2021-03-31,22.0,22.0,1
2021-04-01,0.0,0.0,1
2021-04-02,21.0,21.0,1
2021-04-03,23.0,23.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,37.0,37.0,1
2021-04-07,38.0,38.0,1
2021-04-08,59.0,59.0,1
2021-04-09,61.0,61.0,1
2021-04-10,20.0,20.0,1
2021-04-11,0.0,0.0,1
2021-04-12,38.0,38.0,1
2021-04-13,20.0,20.0,1
2021-04-14,0.0,0.0,1
2021-04-15,40.0,40.0,1
2021-04-16,0.0,0.0,1
2021-04-17,45.0,45.0,1
2021-04-18,23.0,23.0,1
2021-04-19,38.0,38.0,1
2021-04-20,0.0,0.0,1
2021-04-21,100.0,100.0,1
2021-04-22,41.0,41.0,1
2021-04-23,21.0,21.0,1
2021-04-24,23.0,23.0,1
2021-04-25,0.0,0.0,1
2021-04-26,78.0,78.0,1
2021-04-27,40.0,40.0,1
2021-04-28,20.0,20.0,1
2021-04-29,38.0,38.0,1
2021-04-30,59.0,59.0,1
2021-05-01,22.0,22.0,1
2021-05-02,0.0,0.0,1
2021-05-03,19.0,19.0,1
2021-05-04,54.0,54.0,1
2021-05-05,19.0,19.0,1
2021-05-06,19.0,19.0,1
2021-05-07,60.0,60.0,1
2021-05-08,22.0,22.0,1
2021-05-09,0.0,0.0,1
2021-05-10,19.0,19.0,1
2021-05-11,56.0,56.0,1
2021-05-12,20.0,20.0,1
2021-05-13,21.0,21.0,1
2021-05-14,63.0,63.0,1
