date,/m/01ppsd
2020-02-01,49
2020-02-02,57
2020-02-03,53
2020-02-04,44
2020-02-05,48
2020-02-06,42
2020-02-07,62
2020-02-08,76
2020-02-09,55
2020-02-10,58
2020-02-11,50
2020-02-12,43
2020-02-13,45
2020-02-14,39
2020-02-15,41
2020-02-16,53
2020-02-17,23
2020-02-18,62
2020-02-19,53
2020-02-20,54
2020-02-21,32
2020-02-22,40
2020-02-23,27
2020-02-24,52
2020-02-25,49
2020-02-26,37
2020-02-27,47
2020-02-28,51
2020-02-29,48
2020-03-01,53
2020-03-02,44
2020-03-03,79
2020-03-04,78
2020-03-05,80
2020-03-06,86
2020-03-07,51
2020-03-08,70
2020-03-09,83
2020-03-10,70
2020-03-11,72
2020-03-12,78
2020-03-13,64
2020-03-14,85
2020-03-15,78
2020-03-16,99
2020-03-17,82
2020-03-18,94
2020-03-19,31
2020-03-20,69
2020-03-21,62
2020-03-22,100
2020-03-23,79
2020-03-24,60
2020-03-25,61
2020-03-26,88
2020-03-27,64
2020-03-28,58
2020-03-29,55
2020-03-30,69
2020-03-31,61
2020-04-01,63
2020-04-02,44
2020-04-03,42
2020-04-04,53
2020-04-05,59
2020-04-06,29
2020-04-07,50
2020-04-08,39
2020-04-09,75
2020-04-10,46
2020-04-11,67
2020-04-12,56
2020-04-13,78
2020-04-14,59
2020-04-15,47
2020-04-16,51
2020-04-17,48
2020-04-18,68
2020-04-19,71
2020-04-20,50
2020-04-21,61
2020-04-22,50
2020-04-23,52
2020-04-24,49
2020-04-25,39
2020-04-26,58
2020-04-27,81
2020-04-28,54
2020-04-29,57
2020-04-30,50
2020-05-01,45
2020-05-02,52
2020-05-03,77
2020-05-04,55
2020-05-05,50
2020-05-06,40
2020-05-07,48
2020-05-08,51
2020-05-09,46
2020-05-10,30
2020-05-11,51
2020-05-12,45
2020-05-13,73
2020-05-14,52
2020-05-15,27
2020-05-16,43
2020-05-17,49
2020-05-18,47
2020-05-19,44
2020-05-20,42
2020-05-21,30
2020-05-22,34
2020-05-23,39
2020-05-24,18
2020-05-25,37
2020-05-26,36
2020-05-27,61
2020-05-28,50
2020-05-29,34
2020-05-30,47
2020-05-31,72
2020-06-01,53
2020-06-02,45
2020-06-03,46
2020-06-04,52
2020-06-05,38
2020-06-06,41
2020-06-07,36
2020-06-08,35
2020-06-09,38
2020-06-10,38
2020-06-11,45
2020-06-12,26
2020-06-13,53
2020-06-14,48
2020-06-15,39
2020-06-16,32
2020-06-17,27
2020-06-18,51
2020-06-19,33
2020-06-20,49
2020-06-21,59
2020-06-22,49
2020-06-23,50
2020-06-24,63
2020-06-25,57
2020-06-26,25
2020-06-27,53
2020-06-28,43
2020-06-29,35
2020-06-30,35
2020-07-01,26
2020-07-02,30
2020-07-03,47
2020-07-04,14
2020-07-05,51
2020-07-06,30
2020-07-07,47
2020-07-08,39
2020-07-09,24
2020-07-10,62
2020-07-11,57
2020-07-12,49
2020-07-13,42
2020-07-14,58
2020-07-15,35
2020-07-16,44
2020-07-17,31
2020-07-18,30
2020-07-19,53
2020-07-20,67
2020-07-21,33
2020-07-22,40
2020-07-23,34
2020-07-24,40
2020-07-25,58
2020-07-26,52
2020-07-27,62
2020-07-28,48
2020-07-29,60
2020-07-30,41
2020-07-31,62
2020-08-01,70
2020-08-02,44
2020-08-03,42
2020-08-04,31
2020-08-05,38
2020-08-06,52
2020-08-07,63
2020-08-08,52
2020-08-09,51
2020-08-10,60
2020-08-11,48
2020-08-12,59
2020-08-13,42
2020-08-14,52
2020-08-15,54
2020-08-16,39
2020-08-17,32
2020-08-18,56
2020-08-19,36
2020-08-20,64
2020-08-21,37
2020-08-22,58
2020-08-23,31
2020-08-24,29
2020-08-25,54
2020-08-26,36
2020-08-27,54
2020-08-28,44
2020-08-29,51
2020-08-30,51
2020-08-31,50
2020-09-01,52
2020-09-02,44
2020-09-03,35
2020-09-04,36
2020-09-05,50
2020-09-06,66
2020-09-07,29
2020-09-08,49
2020-09-09,43
2020-09-10,39
2020-09-11,44
2020-09-12,53
2020-09-13,39
2020-09-14,66
2020-09-15,48
2020-09-16,59
2020-09-17,54
2020-09-18,43
2020-09-19,32
2020-09-20,20
2020-09-21,31
2020-09-22,50
2020-09-23,34
2020-09-24,47
2020-09-25,40
2020-09-26,60
2020-09-27,43
2020-09-28,30
