date,/m/03p31xx_0,/m/03p31xx,batch_id
2021-02-01,33.0,33.0,1
2021-02-02,0.0,0.0,1
2021-02-03,0.0,0.0,1
2021-02-04,35.0,35.0,1
2021-02-05,35.0,35.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,34.0,34.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,35.0,35.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,100.0,100.0,1
2021-02-16,0.0,0.0,1
2021-02-17,34.0,34.0,1
2021-02-18,0.0,0.0,1
2021-02-19,36.0,36.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,35.0,35.0,1
2021-02-24,35.0,35.0,1
2021-02-25,35.0,35.0,1
2021-02-26,0.0,0.0,1
2021-02-27,39.0,39.0,1
2021-02-28,0.0,0.0,1
2021-03-01,34.0,34.0,1
2021-03-02,0.0,0.0,1
2021-03-03,35.0,35.0,1
2021-03-04,0.0,0.0,1
2021-03-05,36.0,36.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,0.0,0.0,1
2021-03-10,0.0,0.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,37.0,37.0,1
2021-03-14,0.0,0.0,1
2021-03-15,27.0,27.0,1
2021-03-16,0.0,0.0,1
2021-03-17,34.0,34.0,1
2021-03-18,0.0,0.0,1
2021-03-19,36.0,36.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,34.0,34.0,1
2021-03-23,34.0,34.0,1
2021-03-24,0.0,0.0,1
2021-03-25,0.0,0.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,36.0,36.0,1
2021-03-30,37.0,37.0,1
2021-03-31,38.0,38.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,40.0,40.0,1
2021-04-05,0.0,0.0,1
2021-04-06,33.0,33.0,1
2021-04-07,0.0,0.0,1
2021-04-08,35.0,35.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,36.0,36.0,1
2021-04-17,0.0,0.0,1
2021-04-18,40.0,40.0,1
2021-04-19,0.0,0.0,1
2021-04-20,0.0,0.0,1
2021-04-21,0.0,0.0,1
2021-04-22,0.0,0.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,0.0,0.0,1
2021-05-05,0.0,0.0,1
2021-05-06,0.0,0.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
