date,/m/04km8b1_0,/m/04km8b1,batch_id
2021-02-01,8.0,8.0,1
2021-02-02,8.0,8.0,1
2021-02-03,8.0,8.0,1
2021-02-04,0.0,0.0,1
2021-02-05,16.0,16.0,1
2021-02-06,25.0,25.0,1
2021-02-07,8.0,8.0,1
2021-02-08,8.0,8.0,1
2021-02-09,0.0,0.0,1
2021-02-10,38.0,38.0,1
2021-02-11,0.0,0.0,1
2021-02-12,16.0,16.0,1
2021-02-13,9.0,9.0,1
2021-02-14,9.0,9.0,1
2021-02-15,15.0,15.0,1
2021-02-16,0.0,0.0,1
2021-02-17,23.0,23.0,1
2021-02-18,0.0,0.0,1
2021-02-19,8.0,8.0,1
2021-02-20,9.0,9.0,1
2021-02-21,9.0,9.0,1
2021-02-22,7.0,7.0,1
2021-02-23,16.0,16.0,1
2021-02-24,8.0,8.0,1
2021-02-25,16.0,16.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,34.0,34.0,1
2021-03-01,100.0,100.0,1
2021-03-02,56.0,56.0,1
2021-03-03,8.0,8.0,1
2021-03-04,23.0,23.0,1
2021-03-05,24.0,24.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,8.0,8.0,1
2021-03-09,15.0,15.0,1
2021-03-10,8.0,8.0,1
2021-03-11,15.0,15.0,1
2021-03-12,24.0,24.0,1
2021-03-13,17.0,17.0,1
2021-03-14,8.0,8.0,1
2021-03-15,12.0,12.0,1
2021-03-16,13.0,13.0,1
2021-03-17,38.0,38.0,1
2021-03-18,39.0,39.0,1
2021-03-19,0.0,0.0,1
2021-03-20,27.0,27.0,1
2021-03-21,17.0,17.0,1
2021-03-22,15.0,15.0,1
2021-03-23,23.0,23.0,1
2021-03-24,23.0,23.0,1
2021-03-25,24.0,24.0,1
2021-03-26,0.0,0.0,1
2021-03-27,9.0,9.0,1
2021-03-28,0.0,0.0,1
2021-03-29,16.0,16.0,1
2021-03-30,8.0,8.0,1
2021-03-31,0.0,0.0,1
2021-04-01,0.0,0.0,1
2021-04-02,8.0,8.0,1
2021-04-03,0.0,0.0,1
2021-04-04,9.0,9.0,1
2021-04-05,0.0,0.0,1
2021-04-06,7.0,7.0,1
2021-04-07,0.0,0.0,1
2021-04-08,8.0,8.0,1
2021-04-09,8.0,8.0,1
2021-04-10,16.0,16.0,1
2021-04-11,8.0,8.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,15.0,15.0,1
2021-04-15,16.0,16.0,1
2021-04-16,8.0,8.0,1
2021-04-17,0.0,0.0,1
2021-04-18,27.0,27.0,1
2021-04-19,15.0,15.0,1
2021-04-20,8.0,8.0,1
2021-04-21,32.0,32.0,1
2021-04-22,8.0,8.0,1
2021-04-23,17.0,17.0,1
2021-04-24,0.0,0.0,1
2021-04-25,18.0,18.0,1
2021-04-26,0.0,0.0,1
2021-04-27,16.0,16.0,1
2021-04-28,32.0,32.0,1
2021-04-29,15.0,15.0,1
2021-04-30,0.0,0.0,1
2021-05-01,9.0,9.0,1
2021-05-02,0.0,0.0,1
2021-05-03,15.0,15.0,1
2021-05-04,22.0,22.0,1
2021-05-05,7.0,7.0,1
2021-05-06,0.0,0.0,1
2021-05-07,8.0,8.0,1
2021-05-08,9.0,9.0,1
2021-05-09,18.0,18.0,1
2021-05-10,23.0,23.0,1
2021-05-11,15.0,15.0,1
2021-05-12,16.0,16.0,1
2021-05-13,16.0,16.0,1
2021-05-14,8.0,8.0,1
