date,/m/05dq__0,/m/05dq_,batch_id
2021-02-01,63.0,63.0,1
2021-02-02,28.0,28.0,1
2021-02-03,69.0,69.0,1
2021-02-04,51.0,51.0,1
2021-02-05,58.0,58.0,1
2021-02-06,8.0,8.0,1
2021-02-07,15.0,15.0,1
2021-02-08,42.0,42.0,1
2021-02-09,28.0,28.0,1
2021-02-10,70.0,70.0,1
2021-02-11,22.0,22.0,1
2021-02-12,29.0,29.0,1
2021-02-13,16.0,16.0,1
2021-02-14,8.0,8.0,1
2021-02-15,35.0,35.0,1
2021-02-16,36.0,36.0,1
2021-02-17,72.0,72.0,1
2021-02-18,57.0,57.0,1
2021-02-19,61.0,61.0,1
2021-02-20,9.0,9.0,1
2021-02-21,9.0,9.0,1
2021-02-22,68.0,68.0,1
2021-02-23,66.0,66.0,1
2021-02-24,81.0,81.0,1
2021-02-25,66.0,66.0,1
2021-02-26,7.0,7.0,1
2021-02-27,16.0,16.0,1
2021-02-28,0.0,0.0,1
2021-03-01,43.0,43.0,1
2021-03-02,88.0,88.0,1
2021-03-03,74.0,74.0,1
2021-03-04,97.0,97.0,1
2021-03-05,45.0,45.0,1
2021-03-06,25.0,25.0,1
2021-03-07,8.0,8.0,1
2021-03-08,64.0,64.0,1
2021-03-09,84.0,84.0,1
2021-03-10,43.0,43.0,1
2021-03-11,64.0,64.0,1
2021-03-12,51.0,51.0,1
2021-03-13,8.0,8.0,1
2021-03-14,23.0,23.0,1
2021-03-15,33.0,33.0,1
2021-03-16,55.0,55.0,1
2021-03-17,42.0,42.0,1
2021-03-18,21.0,21.0,1
2021-03-19,7.0,7.0,1
2021-03-20,0.0,0.0,1
2021-03-21,8.0,8.0,1
2021-03-22,28.0,28.0,1
2021-03-23,50.0,50.0,1
2021-03-24,21.0,21.0,1
2021-03-25,15.0,15.0,1
2021-03-26,60.0,60.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,52.0,52.0,1
2021-03-30,46.0,46.0,1
2021-03-31,40.0,40.0,1
2021-04-01,60.0,60.0,1
2021-04-02,31.0,31.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,20.0,20.0,1
2021-04-07,21.0,21.0,1
2021-04-08,36.0,36.0,1
2021-04-09,37.0,37.0,1
2021-04-10,7.0,7.0,1
2021-04-11,0.0,0.0,1
2021-04-12,76.0,76.0,1
2021-04-13,44.0,44.0,1
2021-04-14,100.0,100.0,1
2021-04-15,58.0,58.0,1
2021-04-16,8.0,8.0,1
2021-04-17,8.0,8.0,1
2021-04-18,0.0,0.0,1
2021-04-19,28.0,28.0,1
2021-04-20,22.0,22.0,1
2021-04-21,37.0,37.0,1
2021-04-22,37.0,37.0,1
2021-04-23,23.0,23.0,1
2021-04-24,26.0,26.0,1
2021-04-25,0.0,0.0,1
2021-04-26,36.0,36.0,1
2021-04-27,29.0,29.0,1
2021-04-28,44.0,44.0,1
2021-04-29,49.0,49.0,1
2021-04-30,29.0,29.0,1
2021-05-01,0.0,0.0,1
2021-05-02,31.0,31.0,1
2021-05-03,35.0,35.0,1
2021-05-04,53.0,53.0,1
2021-05-05,48.0,48.0,1
2021-05-06,49.0,49.0,1
2021-05-07,44.0,44.0,1
2021-05-08,16.0,16.0,1
2021-05-09,9.0,9.0,1
2021-05-10,42.0,42.0,1
2021-05-11,69.0,69.0,1
2021-05-12,36.0,36.0,1
2021-05-13,30.0,30.0,1
2021-05-14,38.0,38.0,1
