date,/m/01t53n_0,/m/01t53n,batch_id
2021-02-01,57.0,57.0,1
2021-02-02,38.0,38.0,1
2021-02-03,38.0,38.0,1
2021-02-04,32.0,32.0,1
2021-02-05,39.0,39.0,1
2021-02-06,25.0,25.0,1
2021-02-07,0.0,0.0,1
2021-02-08,42.0,42.0,1
2021-02-09,19.0,19.0,1
2021-02-10,38.0,38.0,1
2021-02-11,43.0,43.0,1
2021-02-12,24.0,24.0,1
2021-02-13,22.0,22.0,1
2021-02-14,13.0,13.0,1
2021-02-15,57.0,57.0,1
2021-02-16,40.0,40.0,1
2021-02-17,43.0,43.0,1
2021-02-18,19.0,19.0,1
2021-02-19,54.0,54.0,1
2021-02-20,9.0,9.0,1
2021-02-21,14.0,14.0,1
2021-02-22,29.0,29.0,1
2021-02-23,16.0,16.0,1
2021-02-24,16.0,16.0,1
2021-02-25,100.0,100.0,1
2021-02-26,52.0,52.0,1
2021-02-27,4.0,4.0,1
2021-02-28,9.0,9.0,1
2021-03-01,77.0,77.0,1
2021-03-02,28.0,28.0,1
2021-03-03,84.0,84.0,1
2021-03-04,45.0,45.0,1
2021-03-05,61.0,61.0,1
2021-03-06,13.0,13.0,1
2021-03-07,30.0,30.0,1
2021-03-08,43.0,43.0,1
2021-03-09,53.0,53.0,1
2021-03-10,62.0,62.0,1
2021-03-11,43.0,43.0,1
2021-03-12,16.0,16.0,1
2021-03-13,12.0,12.0,1
2021-03-14,16.0,16.0,1
2021-03-15,45.0,45.0,1
2021-03-16,60.0,60.0,1
2021-03-17,38.0,38.0,1
2021-03-18,47.0,47.0,1
2021-03-19,65.0,65.0,1
2021-03-20,9.0,9.0,1
2021-03-21,13.0,13.0,1
2021-03-22,42.0,42.0,1
2021-03-23,35.0,35.0,1
2021-03-24,35.0,35.0,1
2021-03-25,52.0,52.0,1
2021-03-26,29.0,29.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,57.0,57.0,1
2021-03-30,38.0,38.0,1
2021-03-31,43.0,43.0,1
2021-04-01,45.0,45.0,1
2021-04-02,29.0,29.0,1
2021-04-03,0.0,0.0,1
2021-04-04,14.0,14.0,1
2021-04-05,16.0,16.0,1
2021-04-06,19.0,19.0,1
2021-04-07,15.0,15.0,1
2021-04-08,28.0,28.0,1
2021-04-09,16.0,16.0,1
2021-04-10,0.0,0.0,1
2021-04-11,4.0,4.0,1
2021-04-12,19.0,19.0,1
2021-04-13,20.0,20.0,1
2021-04-14,27.0,27.0,1
2021-04-15,75.0,75.0,1
2021-04-16,62.0,62.0,1
2021-04-17,14.0,14.0,1
2021-04-18,14.0,14.0,1
2021-04-19,64.0,64.0,1
2021-04-20,27.0,27.0,1
2021-04-21,40.0,40.0,1
2021-04-22,60.0,60.0,1
2021-04-23,59.0,59.0,1
2021-04-24,9.0,9.0,1
2021-04-25,9.0,9.0,1
2021-04-26,27.0,27.0,1
2021-04-27,48.0,48.0,1
2021-04-28,52.0,52.0,1
2021-04-29,34.0,34.0,1
2021-04-30,27.0,27.0,1
2021-05-01,9.0,9.0,1
2021-05-02,9.0,9.0,1
2021-05-03,38.0,38.0,1
2021-05-04,36.0,36.0,1
2021-05-05,33.0,33.0,1
2021-05-06,92.0,92.0,1
2021-05-07,91.0,91.0,1
2021-05-08,22.0,22.0,1
2021-05-09,5.0,5.0,1
2021-05-10,53.0,53.0,1
2021-05-11,30.0,30.0,1
2021-05-12,39.0,39.0,1
2021-05-13,33.0,33.0,1
2021-05-14,50.0,50.0,1
