date,/m/029b3
2020-02-01,46
2020-02-02,53
2020-02-03,57
2020-02-04,60
2020-02-05,52
2020-02-06,62
2020-02-07,47
2020-02-08,40
2020-02-09,56
2020-02-10,66
2020-02-11,67
2020-02-12,43
2020-02-13,56
2020-02-14,46
2020-02-15,49
2020-02-16,55
2020-02-17,58
2020-02-18,47
2020-02-19,68
2020-02-20,68
2020-02-21,54
2020-02-22,58
2020-02-23,58
2020-02-24,61
2020-02-25,58
2020-02-26,44
2020-02-27,66
2020-02-28,63
2020-02-29,61
2020-03-01,62
2020-03-02,58
2020-03-03,63
2020-03-04,74
2020-03-05,73
2020-03-06,67
2020-03-07,55
2020-03-08,73
2020-03-09,75
2020-03-10,87
2020-03-11,60
2020-03-12,62
2020-03-13,76
2020-03-14,76
2020-03-15,97
2020-03-16,84
2020-03-17,88
2020-03-18,89
2020-03-19,93
2020-03-20,90
2020-03-21,91
2020-03-22,99
2020-03-23,100
2020-03-24,78
2020-03-25,77
2020-03-26,97
2020-03-27,92
2020-03-28,72
2020-03-29,86
2020-03-30,77
2020-03-31,91
2020-04-01,86
2020-04-02,86
2020-04-03,85
2020-04-04,93
2020-04-05,87
2020-04-06,74
2020-04-07,82
2020-04-08,68
2020-04-09,84
2020-04-10,81
2020-04-11,77
2020-04-12,71
2020-04-13,95
2020-04-14,84
2020-04-15,84
2020-04-16,84
2020-04-17,71
2020-04-18,93
2020-04-19,88
2020-04-20,69
2020-04-21,86
2020-04-22,68
2020-04-23,71
2020-04-24,79
2020-04-25,71
2020-04-26,76
2020-04-27,71
2020-04-28,81
2020-04-29,78
2020-04-30,84
2020-05-01,84
2020-05-02,78
2020-05-03,78
2020-05-04,74
2020-05-05,69
2020-05-06,68
2020-05-07,70
2020-05-08,64
2020-05-09,65
2020-05-10,59
2020-05-11,73
2020-05-12,72
2020-05-13,70
2020-05-14,57
2020-05-15,71
2020-05-16,65
2020-05-17,65
2020-05-18,74
2020-05-19,70
2020-05-20,68
2020-05-21,67
2020-05-22,67
2020-05-23,71
2020-05-24,68
2020-05-25,73
2020-05-26,62
2020-05-27,66
2020-05-28,72
2020-05-29,77
2020-05-30,53
2020-05-31,74
2020-06-01,69
2020-06-02,54
2020-06-03,60
2020-06-04,70
2020-06-05,72
2020-06-06,70
2020-06-07,59
2020-06-08,56
2020-06-09,65
2020-06-10,68
2020-06-11,66
2020-06-12,59
2020-06-13,68
2020-06-14,64
2020-06-15,62
2020-06-16,65
2020-06-17,56
2020-06-18,64
2020-06-19,71
2020-06-20,61
2020-06-21,61
2020-06-22,53
2020-06-23,61
2020-06-24,52
2020-06-25,61
2020-06-26,65
2020-06-27,53
2020-06-28,70
2020-06-29,54
2020-06-30,64
2020-07-01,59
2020-07-02,57
2020-07-03,53
2020-07-04,58
2020-07-05,66
2020-07-06,58
2020-07-07,50
2020-07-08,58
2020-07-09,44
2020-07-10,57
2020-07-11,58
2020-07-12,61
2020-07-13,50
2020-07-14,55
2020-07-15,61
2020-07-16,57
2020-07-17,52
2020-07-18,58
2020-07-19,59
2020-07-20,51
2020-07-21,51
2020-07-22,63
2020-07-23,63
2020-07-24,77
2020-07-25,42
2020-07-26,49
2020-07-27,54
2020-07-28,55
2020-07-29,61
2020-07-30,53
2020-07-31,64
2020-08-01,55
2020-08-02,50
2020-08-03,57
2020-08-04,63
2020-08-05,57
2020-08-06,44
2020-08-07,52
2020-08-08,68
2020-08-09,60
2020-08-10,56
2020-08-11,43
2020-08-12,62
2020-08-13,60
2020-08-14,59
2020-08-15,51
2020-08-16,60
2020-08-17,50
2020-08-18,51
2020-08-19,63
2020-08-20,59
2020-08-21,53
2020-08-22,57
2020-08-23,55
2020-08-24,68
2020-08-25,50
2020-08-26,64
2020-08-27,52
2020-08-28,63
2020-08-29,58
2020-08-30,52
2020-08-31,54
2020-09-01,58
2020-09-02,64
2020-09-03,64
2020-09-04,41
2020-09-05,63
2020-09-06,59
2020-09-07,66
2020-09-08,54
2020-09-09,58
2020-09-10,62
2020-09-11,50
2020-09-12,61
2020-09-13,55
2020-09-14,74
2020-09-15,64
2020-09-16,63
2020-09-17,66
2020-09-18,54
2020-09-19,61
2020-09-20,73
2020-09-21,58
2020-09-22,68
2020-09-23,63
2020-09-24,57
2020-09-25,64
2020-09-26,50
2020-09-27,50
2020-09-28,60
2020-09-29,60
2020-09-30,65
