date,/g/11vj7f11f
2020-02-01,27
2020-02-02,0
2020-02-03,0
2020-02-04,25
2020-02-05,0
2020-02-06,0
2020-02-07,28
2020-02-08,0
2020-02-09,24
2020-02-10,37
2020-02-11,25
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,28
2020-02-16,25
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,26
2020-02-21,0
2020-02-22,0
2020-02-23,27
2020-02-24,25
2020-02-25,0
2020-02-26,0
2020-02-27,24
2020-02-28,0
2020-02-29,26
2020-03-01,50
2020-03-02,0
2020-03-03,50
2020-03-04,75
2020-03-05,25
2020-03-06,51
2020-03-07,27
2020-03-08,0
2020-03-09,24
2020-03-10,48
2020-03-11,36
2020-03-12,35
2020-03-13,25
2020-03-14,52
2020-03-15,26
2020-03-16,34
2020-03-17,70
2020-03-18,35
2020-03-19,23
2020-03-20,22
2020-03-21,49
2020-03-22,100
2020-03-23,21
2020-03-24,0
2020-03-25,23
2020-03-26,22
2020-03-27,21
2020-03-28,36
2020-03-29,47
2020-03-30,0
2020-03-31,41
2020-04-01,22
2020-04-02,21
2020-04-03,21
2020-04-04,25
2020-04-05,26
2020-04-06,66
2020-04-07,22
2020-04-08,34
2020-04-09,46
2020-04-10,46
2020-04-11,0
2020-04-12,75
2020-04-13,22
2020-04-14,21
2020-04-15,22
2020-04-16,23
2020-04-17,22
2020-04-18,22
2020-04-19,23
2020-04-20,0
2020-04-21,67
2020-04-22,45
2020-04-23,22
2020-04-24,44
2020-04-25,48
2020-04-26,77
2020-04-27,0
2020-04-28,41
2020-04-29,42
2020-04-30,20
2020-05-01,0
2020-05-02,22
2020-05-03,47
2020-05-04,20
2020-05-05,0
2020-05-06,22
2020-05-07,23
2020-05-08,0
2020-05-09,25
2020-05-10,23
2020-05-11,20
2020-05-12,32
2020-05-13,43
2020-05-14,22
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,45
2020-05-19,22
2020-05-20,23
2020-05-21,25
2020-05-22,32
2020-05-23,45
2020-05-24,23
2020-05-25,21
2020-05-26,34
2020-05-27,0
2020-05-28,22
2020-05-29,0
2020-05-30,51
2020-05-31,51
