date,/m/0f3kl
2020-02-01,45
2020-02-02,35
2020-02-03,25
2020-02-04,28
2020-02-05,21
2020-02-06,29
2020-02-07,15
2020-02-08,15
2020-02-09,27
2020-02-10,34
2020-02-11,56
2020-02-12,27
2020-02-13,14
2020-02-14,15
2020-02-15,23
2020-02-16,42
2020-02-17,21
2020-02-18,27
2020-02-19,20
2020-02-20,43
2020-02-21,52
2020-02-22,38
2020-02-23,22
2020-02-24,27
2020-02-25,20
2020-02-26,33
2020-02-27,26
2020-02-28,50
2020-02-29,29
2020-03-01,14
2020-03-02,39
2020-03-03,54
2020-03-04,41
2020-03-05,14
2020-03-06,28
2020-03-07,22
2020-03-08,35
2020-03-09,33
2020-03-10,46
2020-03-11,46
2020-03-12,13
2020-03-13,28
2020-03-14,35
2020-03-15,36
2020-03-16,37
2020-03-17,44
2020-03-18,45
2020-03-19,32
2020-03-20,30
2020-03-21,27
2020-03-22,69
2020-03-23,79
2020-03-24,31
2020-03-25,25
2020-03-26,56
2020-03-27,52
2020-03-28,40
2020-03-29,32
2020-03-30,41
2020-03-31,40
2020-04-01,42
2020-04-02,11
2020-04-03,29
2020-04-04,35
2020-04-05,51
2020-04-06,47
2020-04-07,49
2020-04-08,13
2020-04-09,51
2020-04-10,32
2020-04-11,35
2020-04-12,34
2020-04-13,30
2020-04-14,23
2020-04-15,12
2020-04-16,38
2020-04-17,50
2020-04-18,49
2020-04-19,25
2020-04-20,29
2020-04-21,18
2020-04-22,25
2020-04-23,12
2020-04-24,12
2020-04-25,14
2020-04-26,56
2020-04-27,18
2020-04-28,28
2020-04-29,17
2020-04-30,11
2020-05-01,12
2020-05-02,12
2020-05-03,13
2020-05-04,22
2020-05-05,33
2020-05-06,54
2020-05-07,38
2020-05-08,12
2020-05-09,34
2020-05-10,32
2020-05-11,45
2020-05-12,71
2020-05-13,42
2020-05-14,12
2020-05-15,25
2020-05-16,48
2020-05-17,57
2020-05-18,49
2020-05-19,25
2020-05-20,37
2020-05-21,28
2020-05-22,30
2020-05-23,25
2020-05-24,26
2020-05-25,24
2020-05-26,43
2020-05-27,37
2020-05-28,18
2020-05-29,50
2020-05-30,14
2020-05-31,50
2020-06-01,45
2020-06-02,23
2020-06-03,21
2020-06-04,41
2020-06-05,26
2020-06-06,12
2020-06-07,31
2020-06-08,26
2020-06-09,16
2020-06-10,34
2020-06-11,29
2020-06-12,42
2020-06-13,28
2020-06-14,27
2020-06-15,34
2020-06-16,28
2020-06-17,23
2020-06-18,12
2020-06-19,31
2020-06-20,51
2020-06-21,49
2020-06-22,36
2020-06-23,39
2020-06-24,40
2020-06-25,13
2020-06-26,26
2020-06-27,28
2020-06-28,38
2020-06-29,24
2020-06-30,0
2020-07-01,24
2020-07-02,12
2020-07-03,80
2020-07-04,100
2020-07-05,33
2020-07-06,50
2020-07-07,32
2020-07-08,31
2020-07-09,47
2020-07-10,48
2020-07-11,40
2020-07-12,39
2020-07-13,13
2020-07-14,39
2020-07-15,33
2020-07-16,13
2020-07-17,43
2020-07-18,33
2020-07-19,57
2020-07-20,35
2020-07-21,62
2020-07-22,28
2020-07-23,21
2020-07-24,69
2020-07-25,74
2020-07-26,15
2020-07-27,33
2020-07-28,33
2020-07-29,41
2020-07-30,43
2020-07-31,29
2020-08-01,30
2020-08-02,28
2020-08-03,49
2020-08-04,39
2020-08-05,20
2020-08-06,80
2020-08-07,35
2020-08-08,29
2020-08-09,57
2020-08-10,19
2020-08-11,44
2020-08-12,49
2020-08-13,25
2020-08-14,19
2020-08-15,73
2020-08-16,46
2020-08-17,36
2020-08-18,31
2020-08-19,25
2020-08-20,52
2020-08-21,26
2020-08-22,50
2020-08-23,32
2020-08-24,24
2020-08-25,56
2020-08-26,32
2020-08-27,26
2020-08-28,53
2020-08-29,49
2020-08-30,54
2020-08-31,12
2020-09-01,39
2020-09-02,20
2020-09-03,26
2020-09-04,27
2020-09-05,28
2020-09-06,43
2020-09-07,27
2020-09-08,26
2020-09-09,52
2020-09-10,53
2020-09-11,70
2020-09-12,60
2020-09-13,51
2020-09-14,26
2020-09-15,66
2020-09-16,39
2020-09-17,33
2020-09-18,27
2020-09-19,29
2020-09-20,14
2020-09-21,51
2020-09-22,38
2020-09-23,51
2020-09-24,13
2020-09-25,55
2020-09-26,21
2020-09-27,27
2020-09-28,45
2020-09-29,47
