date,/m/07s4gdr_0,/m/07s4gdr,batch_id
2021-02-01,17.0,17.0,1
2021-02-02,37.0,37.0,1
2021-02-03,31.0,31.0,1
2021-02-04,33.0,33.0,1
2021-02-05,21.0,21.0,1
2021-02-06,0.0,0.0,1
2021-02-07,9.0,9.0,1
2021-02-08,23.0,23.0,1
2021-02-09,29.0,29.0,1
2021-02-10,100.0,100.0,1
2021-02-11,62.0,62.0,1
2021-02-12,48.0,48.0,1
2021-02-13,17.0,17.0,1
2021-02-14,13.0,13.0,1
2021-02-15,40.0,40.0,1
2021-02-16,39.0,39.0,1
2021-02-17,47.0,47.0,1
2021-02-18,32.0,32.0,1
2021-02-19,47.0,47.0,1
2021-02-20,0.0,0.0,1
2021-02-21,4.0,4.0,1
2021-02-22,19.0,19.0,1
2021-02-23,24.0,24.0,1
2021-02-24,18.0,18.0,1
2021-02-25,30.0,30.0,1
2021-02-26,27.0,27.0,1
2021-02-27,13.0,13.0,1
2021-02-28,0.0,0.0,1
2021-03-01,23.0,23.0,1
2021-03-02,21.0,21.0,1
2021-03-03,30.0,30.0,1
2021-03-04,43.0,43.0,1
2021-03-05,18.0,18.0,1
2021-03-06,0.0,0.0,1
2021-03-07,3.0,3.0,1
2021-03-08,29.0,29.0,1
2021-03-09,37.0,37.0,1
2021-03-10,35.0,35.0,1
2021-03-11,15.0,15.0,1
2021-03-12,30.0,30.0,1
2021-03-13,6.0,6.0,1
2021-03-14,0.0,0.0,1
2021-03-15,11.0,11.0,1
2021-03-16,13.0,13.0,1
2021-03-17,20.0,20.0,1
2021-03-18,18.0,18.0,1
2021-03-19,22.0,22.0,1
2021-03-20,3.0,3.0,1
2021-03-21,0.0,0.0,1
2021-03-22,29.0,29.0,1
2021-03-23,26.0,26.0,1
2021-03-24,12.0,12.0,1
2021-03-25,33.0,33.0,1
2021-03-26,9.0,9.0,1
2021-03-27,6.0,6.0,1
2021-03-28,3.0,3.0,1
2021-03-29,24.0,24.0,1
2021-03-30,19.0,19.0,1
2021-03-31,29.0,29.0,1
2021-04-01,9.0,9.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,9.0,9.0,1
2021-04-06,20.0,20.0,1
2021-04-07,17.0,17.0,1
2021-04-08,12.0,12.0,1
2021-04-09,27.0,27.0,1
2021-04-10,6.0,6.0,1
2021-04-11,3.0,3.0,1
2021-04-12,11.0,11.0,1
2021-04-13,15.0,15.0,1
2021-04-14,32.0,32.0,1
2021-04-15,27.0,27.0,1
2021-04-16,22.0,22.0,1
2021-04-17,0.0,0.0,1
2021-04-18,10.0,10.0,1
2021-04-19,17.0,17.0,1
2021-04-20,12.0,12.0,1
2021-04-21,18.0,18.0,1
2021-04-22,18.0,18.0,1
2021-04-23,6.0,6.0,1
2021-04-24,4.0,4.0,1
2021-04-25,0.0,0.0,1
2021-04-26,12.0,12.0,1
2021-04-27,21.0,21.0,1
2021-04-28,18.0,18.0,1
2021-04-29,17.0,17.0,1
2021-04-30,29.0,29.0,1
2021-05-01,13.0,13.0,1
2021-05-02,0.0,0.0,1
2021-05-03,9.0,9.0,1
2021-05-04,11.0,11.0,1
2021-05-05,8.0,8.0,1
2021-05-06,20.0,20.0,1
2021-05-07,21.0,21.0,1
2021-05-08,3.0,3.0,1
2021-05-09,3.0,3.0,1
2021-05-10,35.0,35.0,1
2021-05-11,11.0,11.0,1
2021-05-12,18.0,18.0,1
2021-05-13,25.0,25.0,1
2021-05-14,32.0,32.0,1
