date,/g/11ckkxzf19_0,/g/11ckkxzf19,batch_id
2021-02-01,54.0,54.0,1
2021-02-02,43.0,43.0,1
2021-02-03,75.0,75.0,1
2021-02-04,56.0,56.0,1
2021-02-05,56.0,56.0,1
2021-02-06,12.0,12.0,1
2021-02-07,0.0,0.0,1
2021-02-08,75.0,75.0,1
2021-02-09,33.0,33.0,1
2021-02-10,22.0,22.0,1
2021-02-11,33.0,33.0,1
2021-02-12,0.0,0.0,1
2021-02-13,13.0,13.0,1
2021-02-14,0.0,0.0,1
2021-02-15,54.0,54.0,1
2021-02-16,57.0,57.0,1
2021-02-17,33.0,33.0,1
2021-02-18,100.0,100.0,1
2021-02-19,24.0,24.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,42.0,42.0,1
2021-02-23,57.0,57.0,1
2021-02-24,23.0,23.0,1
2021-02-25,91.0,91.0,1
2021-02-26,34.0,34.0,1
2021-02-27,25.0,25.0,1
2021-02-28,12.0,12.0,1
2021-03-01,77.0,77.0,1
2021-03-02,45.0,45.0,1
2021-03-03,11.0,11.0,1
2021-03-04,54.0,54.0,1
2021-03-05,12.0,12.0,1
2021-03-06,13.0,13.0,1
2021-03-07,12.0,12.0,1
2021-03-08,66.0,66.0,1
2021-03-09,22.0,22.0,1
2021-03-10,66.0,66.0,1
2021-03-11,22.0,22.0,1
2021-03-12,23.0,23.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,43.0,43.0,1
2021-03-16,57.0,57.0,1
2021-03-17,11.0,11.0,1
2021-03-18,22.0,22.0,1
2021-03-19,12.0,12.0,1
2021-03-20,26.0,26.0,1
2021-03-21,12.0,12.0,1
2021-03-22,11.0,11.0,1
2021-03-23,33.0,33.0,1
2021-03-24,22.0,22.0,1
2021-03-25,57.0,57.0,1
2021-03-26,35.0,35.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,58.0,58.0,1
2021-03-30,12.0,12.0,1
2021-03-31,37.0,37.0,1
2021-04-01,47.0,47.0,1
2021-04-02,36.0,36.0,1
2021-04-03,13.0,13.0,1
2021-04-04,13.0,13.0,1
2021-04-05,34.0,34.0,1
2021-04-06,21.0,21.0,1
2021-04-07,11.0,11.0,1
2021-04-08,22.0,22.0,1
2021-04-09,34.0,34.0,1
2021-04-10,23.0,23.0,1
2021-04-11,0.0,0.0,1
2021-04-12,32.0,32.0,1
2021-04-13,45.0,45.0,1
2021-04-14,66.0,66.0,1
2021-04-15,11.0,11.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,11.0,11.0,1
2021-04-20,45.0,45.0,1
2021-04-21,23.0,23.0,1
2021-04-22,69.0,69.0,1
2021-04-23,24.0,24.0,1
2021-04-24,0.0,0.0,1
2021-04-25,13.0,13.0,1
2021-04-26,44.0,44.0,1
2021-04-27,46.0,46.0,1
2021-04-28,34.0,34.0,1
2021-04-29,22.0,22.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,32.0,32.0,1
2021-05-04,10.0,10.0,1
2021-05-05,63.0,63.0,1
2021-05-06,33.0,33.0,1
2021-05-07,45.0,45.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,33.0,33.0,1
2021-05-11,64.0,64.0,1
2021-05-12,44.0,44.0,1
2021-05-13,23.0,23.0,1
2021-05-14,36.0,36.0,1
