date,/g/120n2jkp
2020-02-01,42
2020-02-02,27
2020-02-03,24
2020-02-04,35
2020-02-05,40
2020-02-06,55
2020-02-07,29
2020-02-08,29
2020-02-09,25
2020-02-10,38
2020-02-11,44
2020-02-12,43
2020-02-13,54
2020-02-14,56
2020-02-15,58
2020-02-16,35
2020-02-17,78
2020-02-18,34
2020-02-19,39
2020-02-20,27
2020-02-21,71
2020-02-22,39
2020-02-23,55
2020-02-24,38
2020-02-25,42
2020-02-26,58
2020-02-27,57
2020-02-28,72
2020-02-29,27
2020-03-01,52
2020-03-02,25
2020-03-03,60
2020-03-04,26
2020-03-05,52
2020-03-06,66
2020-03-07,38
2020-03-08,35
2020-03-09,38
2020-03-10,25
2020-03-11,41
2020-03-12,24
2020-03-13,62
2020-03-14,27
2020-03-15,27
2020-03-16,35
2020-03-17,36
2020-03-18,24
2020-03-19,81
2020-03-20,23
2020-03-21,43
2020-03-22,0
2020-03-23,36
2020-03-24,54
2020-03-25,24
2020-03-26,23
2020-03-27,22
2020-03-28,25
2020-03-29,36
2020-03-30,22
2020-03-31,76
2020-04-01,34
2020-04-02,33
2020-04-03,55
2020-04-04,61
2020-04-05,41
2020-04-06,52
2020-04-07,70
2020-04-08,48
2020-04-09,48
2020-04-10,36
2020-04-11,26
2020-04-12,39
2020-04-13,92
2020-04-14,59
2020-04-15,34
2020-04-16,47
2020-04-17,55
2020-04-18,46
2020-04-19,59
2020-04-20,44
2020-04-21,46
2020-04-22,23
2020-04-23,46
2020-04-24,34
2020-04-25,64
2020-04-26,53
2020-04-27,38
2020-04-28,43
2020-04-29,36
2020-04-30,21
2020-05-01,33
2020-05-02,45
2020-05-03,57
2020-05-04,28
2020-05-05,62
2020-05-06,68
2020-05-07,24
2020-05-08,35
2020-05-09,39
2020-05-10,24
2020-05-11,28
2020-05-12,33
2020-05-13,78
2020-05-14,38
2020-05-15,24
2020-05-16,52
2020-05-17,27
2020-05-18,69
2020-05-19,46
2020-05-20,48
2020-05-21,39
2020-05-22,56
2020-05-23,36
2020-05-24,36
2020-05-25,45
2020-05-26,23
2020-05-27,35
2020-05-28,69
2020-05-29,48
2020-05-30,27
2020-05-31,67
2020-06-01,41
2020-06-02,37
2020-06-03,61
2020-06-04,32
2020-06-05,30
2020-06-06,46
2020-06-07,39
2020-06-08,20
2020-06-09,30
2020-06-10,29
2020-06-11,59
2020-06-12,0
2020-06-13,65
2020-06-14,51
2020-06-15,43
2020-06-16,42
2020-06-17,36
2020-06-18,22
2020-06-19,63
2020-06-20,55
2020-06-21,39
2020-06-22,57
2020-06-23,32
2020-06-24,58
2020-06-25,42
2020-06-26,49
2020-06-27,35
2020-06-28,61
2020-06-29,38
2020-06-30,35
2020-07-01,34
2020-07-02,23
2020-07-03,100
2020-07-04,26
2020-07-05,25
2020-07-06,24
2020-07-07,49
2020-07-08,47
2020-07-09,75
2020-07-10,26
2020-07-11,60
2020-07-12,30
2020-07-13,38
2020-07-14,24
2020-07-15,37
2020-07-16,49
2020-07-17,81
2020-07-18,63
2020-07-19,41
2020-07-20,26
2020-07-21,59
2020-07-22,44
2020-07-23,0
2020-07-24,61
2020-07-25,38
2020-07-26,27
2020-07-27,74
2020-07-28,59
2020-07-29,52
2020-07-30,53
2020-07-31,41
2020-08-01,69
2020-08-02,53
2020-08-03,39
2020-08-04,24
2020-08-05,50
2020-08-06,68
2020-08-07,52
2020-08-08,70
2020-08-09,80
2020-08-10,88
2020-08-11,47
2020-08-12,23
2020-08-13,35
2020-08-14,56
2020-08-15,49
2020-08-16,75
2020-08-17,38
2020-08-18,35
2020-08-19,24
2020-08-20,32
2020-08-21,24
2020-08-22,67
2020-08-23,37
2020-08-24,45
2020-08-25,24
2020-08-26,95
2020-08-27,58
2020-08-28,62
2020-08-29,53
2020-08-30,25
2020-08-31,0
2020-09-01,49
2020-09-02,33
2020-09-03,50
2020-09-04,50
2020-09-05,39
2020-09-06,27
2020-09-07,25
2020-09-08,24
2020-09-09,49
2020-09-10,25
2020-09-11,27
2020-09-12,56
2020-09-13,27
2020-09-14,75
2020-09-15,25
2020-09-16,41
2020-09-17,59
2020-09-18,43
2020-09-19,46
2020-09-20,27
2020-09-21,88
2020-09-22,49
2020-09-23,0
2020-09-24,24
2020-09-25,52
2020-09-26,35
2020-09-27,64
2020-09-28,32
2020-09-29,50
