date,/m/02chd9
2020-02-01,41
2020-02-02,39
2020-02-03,74
2020-02-04,39
2020-02-05,72
2020-02-06,61
2020-02-07,52
2020-02-08,56
2020-02-09,43
2020-02-10,61
2020-02-11,29
2020-02-12,38
2020-02-13,39
2020-02-14,20
2020-02-15,49
2020-02-16,48
2020-02-17,50
2020-02-18,38
2020-02-19,31
2020-02-20,68
2020-02-21,30
2020-02-22,35
2020-02-23,30
2020-02-24,37
2020-02-25,74
2020-02-26,41
2020-02-27,54
2020-02-28,51
2020-02-29,66
2020-03-01,63
2020-03-02,36
2020-03-03,57
2020-03-04,56
2020-03-05,47
2020-03-06,25
2020-03-07,48
2020-03-08,57
2020-03-09,30
2020-03-10,61
2020-03-11,36
2020-03-12,44
2020-03-13,32
2020-03-14,53
2020-03-15,59
2020-03-16,35
2020-03-17,17
2020-03-18,41
2020-03-19,18
2020-03-20,33
2020-03-21,37
2020-03-22,57
2020-03-23,52
2020-03-24,23
2020-03-25,29
2020-03-26,51
2020-03-27,24
2020-03-28,25
2020-03-29,47
2020-03-30,42
2020-03-31,89
2020-04-01,44
2020-04-02,64
2020-04-03,32
2020-04-04,44
2020-04-05,100
2020-04-06,33
2020-04-07,34
2020-04-08,43
2020-04-09,44
2020-04-10,47
2020-04-11,64
2020-04-12,47
2020-04-13,22
2020-04-14,72
2020-04-15,50
2020-04-16,63
2020-04-17,46
2020-04-18,62
2020-04-19,69
2020-04-20,27
2020-04-21,33
2020-04-22,45
2020-04-23,75
2020-04-24,39
2020-04-25,37
2020-04-26,39
2020-04-27,33
2020-04-28,56
2020-04-29,63
2020-04-30,56
2020-05-01,80
2020-05-02,66
2020-05-03,47
2020-05-04,45
2020-05-05,37
2020-05-06,49
2020-05-07,40
2020-05-08,52
2020-05-09,56
2020-05-10,47
2020-05-11,61
2020-05-12,80
2020-05-13,22
2020-05-14,61
2020-05-15,52
2020-05-16,96
2020-05-17,59
2020-05-18,51
2020-05-19,45
2020-05-20,52
2020-05-21,51
2020-05-22,49
2020-05-23,81
2020-05-24,46
2020-05-25,54
2020-05-26,50
2020-05-27,33
2020-05-28,50
2020-05-29,23
2020-05-30,83
2020-05-31,29
