date,/m/01rfps
2020-02-01,89
2020-02-02,39
2020-02-03,53
2020-02-04,59
2020-02-05,43
2020-02-06,53
2020-02-07,52
2020-02-08,50
2020-02-09,41
2020-02-10,32
2020-02-11,40
2020-02-12,46
2020-02-13,44
2020-02-14,39
2020-02-15,69
2020-02-16,53
2020-02-17,66
2020-02-18,39
2020-02-19,54
2020-02-20,37
2020-02-21,47
2020-02-22,52
2020-02-23,50
2020-02-24,40
2020-02-25,42
2020-02-26,44
2020-02-27,42
2020-02-28,43
2020-02-29,80
2020-03-01,61
2020-03-02,72
2020-03-03,72
2020-03-04,55
2020-03-05,46
2020-03-06,46
2020-03-07,74
2020-03-08,55
2020-03-09,54
2020-03-10,52
2020-03-11,59
2020-03-12,59
2020-03-13,78
2020-03-14,83
2020-03-15,58
2020-03-16,95
2020-03-17,98
2020-03-18,93
2020-03-19,92
2020-03-20,87
2020-03-21,79
2020-03-22,67
2020-03-23,100
2020-03-24,86
2020-03-25,79
2020-03-26,60
2020-03-27,82
2020-03-28,75
2020-03-29,43
2020-03-30,65
2020-03-31,75
2020-04-01,54
2020-04-02,75
2020-04-03,59
2020-04-04,64
2020-04-05,45
2020-04-06,68
2020-04-07,65
2020-04-08,70
2020-04-09,57
2020-04-10,61
2020-04-11,75
2020-04-12,41
2020-04-13,60
2020-04-14,66
2020-04-15,59
2020-04-16,59
2020-04-17,65
2020-04-18,52
2020-04-19,39
2020-04-20,59
2020-04-21,50
2020-04-22,65
2020-04-23,53
2020-04-24,51
2020-04-25,60
2020-04-26,34
2020-04-27,53
2020-04-28,61
2020-04-29,54
2020-04-30,52
2020-05-01,50
2020-05-02,59
2020-05-03,33
2020-05-04,57
2020-05-05,53
2020-05-06,54
2020-05-07,52
2020-05-08,49
2020-05-09,56
2020-05-10,39
2020-05-11,49
2020-05-12,32
2020-05-13,43
2020-05-14,45
2020-05-15,46
2020-05-16,50
2020-05-17,39
2020-05-18,46
2020-05-19,39
2020-05-20,47
2020-05-21,45
2020-05-22,51
2020-05-23,50
2020-05-24,29
2020-05-25,41
2020-05-26,51
2020-05-27,48
2020-05-28,38
2020-05-29,42
2020-05-30,69
2020-05-31,51
2020-06-01,51
2020-06-02,47
2020-06-03,42
2020-06-04,34
2020-06-05,41
2020-06-06,51
2020-06-07,38
2020-06-08,39
2020-06-09,39
2020-06-10,36
2020-06-11,45
2020-06-12,45
2020-06-13,58
2020-06-14,43
2020-06-15,48
2020-06-16,29
2020-06-17,41
2020-06-18,38
2020-06-19,43
2020-06-20,66
2020-06-21,46
2020-06-22,45
2020-06-23,41
2020-06-24,51
2020-06-25,37
2020-06-26,56
2020-06-27,58
2020-06-28,43
2020-06-29,49
2020-06-30,39
2020-07-01,41
2020-07-02,42
2020-07-03,47
2020-07-04,57
2020-07-05,42
2020-07-06,37
2020-07-07,35
2020-07-08,39
2020-07-09,41
2020-07-10,56
2020-07-11,71
2020-07-12,36
2020-07-13,50
2020-07-14,39
2020-07-15,50
2020-07-16,33
2020-07-17,44
2020-07-18,70
2020-07-19,45
2020-07-20,62
2020-07-21,50
2020-07-22,61
2020-07-23,38
2020-07-24,53
2020-07-25,76
2020-07-26,55
2020-07-27,50
2020-07-28,47
2020-07-29,47
2020-07-30,55
2020-07-31,48
2020-08-01,65
2020-08-02,40
2020-08-03,55
2020-08-04,39
2020-08-05,42
2020-08-06,40
2020-08-07,36
2020-08-08,67
2020-08-09,46
2020-08-10,47
2020-08-11,38
2020-08-12,41
2020-08-13,45
2020-08-14,51
2020-08-15,82
2020-08-16,49
2020-08-17,50
2020-08-18,40
2020-08-19,38
2020-08-20,41
2020-08-21,39
2020-08-22,57
2020-08-23,32
2020-08-24,29
2020-08-25,38
2020-08-26,39
2020-08-27,54
2020-08-28,43
2020-08-29,67
2020-08-30,37
2020-08-31,46
2020-09-01,42
2020-09-02,41
2020-09-03,40
2020-09-04,42
2020-09-05,65
2020-09-06,44
2020-09-07,53
2020-09-08,51
2020-09-09,44
2020-09-10,49
2020-09-11,45
2020-09-12,74
2020-09-13,47
2020-09-14,58
2020-09-15,51
2020-09-16,40
2020-09-17,40
2020-09-18,43
2020-09-19,50
2020-09-20,39
2020-09-21,48
2020-09-22,38
2020-09-23,53
2020-09-24,40
2020-09-25,39
2020-09-26,54
2020-09-27,39
2020-09-28,43
2020-09-29,41
2020-09-30,46
