date,/g/11bc5m5_zl_0,/g/11bc5m5_zl,batch_id
2021-02-01,39.0,39.0,1
2021-02-02,78.0,78.0,1
2021-02-03,71.0,71.0,1
2021-02-04,34.0,34.0,1
2021-02-05,67.0,67.0,1
2021-02-06,7.0,7.0,1
2021-02-07,7.0,7.0,1
2021-02-08,39.0,39.0,1
2021-02-09,60.0,60.0,1
2021-02-10,32.0,32.0,1
2021-02-11,47.0,47.0,1
2021-02-12,27.0,27.0,1
2021-02-13,0.0,0.0,1
2021-02-14,8.0,8.0,1
2021-02-15,26.0,26.0,1
2021-02-16,55.0,55.0,1
2021-02-17,20.0,20.0,1
2021-02-18,40.0,40.0,1
2021-02-19,43.0,43.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,25.0,25.0,1
2021-02-23,55.0,55.0,1
2021-02-24,41.0,41.0,1
2021-02-25,34.0,34.0,1
2021-02-26,55.0,55.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,53.0,53.0,1
2021-03-02,34.0,34.0,1
2021-03-03,76.0,76.0,1
2021-03-04,59.0,59.0,1
2021-03-05,77.0,77.0,1
2021-03-06,15.0,15.0,1
2021-03-07,0.0,0.0,1
2021-03-08,67.0,67.0,1
2021-03-09,79.0,79.0,1
2021-03-10,100.0,100.0,1
2021-03-11,53.0,53.0,1
2021-03-12,41.0,41.0,1
2021-03-13,7.0,7.0,1
2021-03-14,0.0,0.0,1
2021-03-15,41.0,41.0,1
2021-03-16,46.0,46.0,1
2021-03-17,26.0,26.0,1
2021-03-18,47.0,47.0,1
2021-03-19,42.0,42.0,1
2021-03-20,8.0,8.0,1
2021-03-21,0.0,0.0,1
2021-03-22,46.0,46.0,1
2021-03-23,40.0,40.0,1
2021-03-24,46.0,46.0,1
2021-03-25,55.0,55.0,1
2021-03-26,14.0,14.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,63.0,63.0,1
2021-03-30,65.0,65.0,1
2021-03-31,52.0,52.0,1
2021-04-01,71.0,71.0,1
2021-04-02,43.0,43.0,1
2021-04-03,0.0,0.0,1
2021-04-04,8.0,8.0,1
2021-04-05,14.0,14.0,1
2021-04-06,45.0,45.0,1
2021-04-07,72.0,72.0,1
2021-04-08,27.0,27.0,1
2021-04-09,35.0,35.0,1
2021-04-10,7.0,7.0,1
2021-04-11,0.0,0.0,1
2021-04-12,39.0,39.0,1
2021-04-13,34.0,34.0,1
2021-04-14,53.0,53.0,1
2021-04-15,48.0,48.0,1
2021-04-16,43.0,43.0,1
2021-04-17,16.0,16.0,1
2021-04-18,8.0,8.0,1
2021-04-19,39.0,39.0,1
2021-04-20,40.0,40.0,1
2021-04-21,34.0,34.0,1
2021-04-22,28.0,28.0,1
2021-04-23,43.0,43.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,33.0,33.0,1
2021-04-27,21.0,21.0,1
2021-04-28,14.0,14.0,1
2021-04-29,26.0,26.0,1
2021-04-30,27.0,27.0,1
2021-05-01,7.0,7.0,1
2021-05-02,0.0,0.0,1
2021-05-03,58.0,58.0,1
2021-05-04,19.0,19.0,1
2021-05-05,13.0,13.0,1
2021-05-06,33.0,33.0,1
2021-05-07,20.0,20.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,39.0,39.0,1
2021-05-11,51.0,51.0,1
2021-05-12,20.0,20.0,1
2021-05-13,14.0,14.0,1
2021-05-14,7.0,7.0,1
