date,/m/012n6x
2020-02-01,69
2020-02-02,38
2020-02-03,14
2020-02-04,0
2020-02-05,16
2020-02-06,40
2020-02-07,42
2020-02-08,35
2020-02-09,41
2020-02-10,42
2020-02-11,43
2020-02-12,27
2020-02-13,28
2020-02-14,17
2020-02-15,45
2020-02-16,49
2020-02-17,40
2020-02-18,42
2020-02-19,32
2020-02-20,25
2020-02-21,35
2020-02-22,30
2020-02-23,17
2020-02-24,63
2020-02-25,32
2020-02-26,41
2020-02-27,23
2020-02-28,17
2020-02-29,50
2020-03-01,16
2020-03-02,38
2020-03-03,21
2020-03-04,32
2020-03-05,27
2020-03-06,38
2020-03-07,17
2020-03-08,48
2020-03-09,52
2020-03-10,21
2020-03-11,31
2020-03-12,38
2020-03-13,33
2020-03-14,22
2020-03-15,17
2020-03-16,14
2020-03-17,22
2020-03-18,15
2020-03-19,30
2020-03-20,21
2020-03-21,24
2020-03-22,24
2020-03-23,27
2020-03-24,38
2020-03-25,15
2020-03-26,14
2020-03-27,27
2020-03-28,36
2020-03-29,15
2020-03-30,45
2020-03-31,22
2020-04-01,21
2020-04-02,31
2020-04-03,27
2020-04-04,27
2020-04-05,17
2020-04-06,49
2020-04-07,22
2020-04-08,29
2020-04-09,39
2020-04-10,45
2020-04-11,27
2020-04-12,21
2020-04-13,33
2020-04-14,27
2020-04-15,14
2020-04-16,22
2020-04-17,24
2020-04-18,29
2020-04-19,22
2020-04-20,41
2020-04-21,21
2020-04-22,24
2020-04-23,35
2020-04-24,37
2020-04-25,24
2020-04-26,25
2020-04-27,43
2020-04-28,20
2020-04-29,33
2020-04-30,51
2020-05-01,14
2020-05-02,21
2020-05-03,53
2020-05-04,26
2020-05-05,19
2020-05-06,42
2020-05-07,37
2020-05-08,29
2020-05-09,32
2020-05-10,35
2020-05-11,26
2020-05-12,32
2020-05-13,37
2020-05-14,14
2020-05-15,22
2020-05-16,32
2020-05-17,28
2020-05-18,47
2020-05-19,14
2020-05-20,29
2020-05-21,16
2020-05-22,14
2020-05-23,30
2020-05-24,30
2020-05-25,21
2020-05-26,24
2020-05-27,43
2020-05-28,42
2020-05-29,37
2020-05-30,38
2020-05-31,44
2020-06-01,35
2020-06-02,14
2020-06-03,29
2020-06-04,28
2020-06-05,12
2020-06-06,43
2020-06-07,29
2020-06-08,36
2020-06-09,31
2020-06-10,40
2020-06-11,27
2020-06-12,42
2020-06-13,27
2020-06-14,47
2020-06-15,54
2020-06-16,13
2020-06-17,13
2020-06-18,19
2020-06-19,37
2020-06-20,34
2020-06-21,24
2020-06-22,21
2020-06-23,25
2020-06-24,15
2020-06-25,16
2020-06-26,53
2020-06-27,22
2020-06-28,52
2020-06-29,14
2020-06-30,22
2020-07-01,19
2020-07-02,19
2020-07-03,26
2020-07-04,25
2020-07-05,15
2020-07-06,24
2020-07-07,23
2020-07-08,29
2020-07-09,26
2020-07-10,32
2020-07-11,37
2020-07-12,55
2020-07-13,23
2020-07-14,45
2020-07-15,26
2020-07-16,23
2020-07-17,39
2020-07-18,19
2020-07-19,19
2020-07-20,22
2020-07-21,18
2020-07-22,24
2020-07-23,33
2020-07-24,57
2020-07-25,26
2020-07-26,25
2020-07-27,15
2020-07-28,21
2020-07-29,43
2020-07-30,41
2020-07-31,33
2020-08-01,29
2020-08-02,100
2020-08-03,48
2020-08-04,15
2020-08-05,36
2020-08-06,31
2020-08-07,16
2020-08-08,34
2020-08-09,39
2020-08-10,29
2020-08-11,14
2020-08-12,28
2020-08-13,29
2020-08-14,20
2020-08-15,30
2020-08-16,31
2020-08-17,57
2020-08-18,19
2020-08-19,24
2020-08-20,15
2020-08-21,35
2020-08-22,17
2020-08-23,20
2020-08-24,19
2020-08-25,29
2020-08-26,30
2020-08-27,31
2020-08-28,15
2020-08-29,17
2020-08-30,36
2020-08-31,14
2020-09-01,15
2020-09-02,20
2020-09-03,31
2020-09-04,15
2020-09-05,16
2020-09-06,17
2020-09-07,31
2020-09-08,53
2020-09-09,15
2020-09-10,32
2020-09-11,33
2020-09-12,61
2020-09-13,23
2020-09-14,16
2020-09-15,46
2020-09-16,15
2020-09-17,31
2020-09-18,27
2020-09-19,25
2020-09-20,38
2020-09-21,30
2020-09-22,45
2020-09-23,44
2020-09-24,30
2020-09-25,21
2020-09-26,25
2020-09-27,32
2020-09-28,45
2020-09-29,16
