date,/m/039xj_
2020-02-01,61
2020-02-02,58
2020-02-03,84
2020-02-04,76
2020-02-05,49
2020-02-06,45
2020-02-07,72
2020-02-08,69
2020-02-09,75
2020-02-10,58
2020-02-11,49
2020-02-12,66
2020-02-13,65
2020-02-14,58
2020-02-15,77
2020-02-16,69
2020-02-17,78
2020-02-18,62
2020-02-19,65
2020-02-20,86
2020-02-21,100
2020-02-22,63
2020-02-23,50
2020-02-24,65
2020-02-25,53
2020-02-26,42
2020-02-27,83
2020-02-28,42
2020-02-29,60
2020-03-01,84
2020-03-02,71
2020-03-03,51
2020-03-04,56
2020-03-05,75
2020-03-06,36
2020-03-07,75
2020-03-08,48
2020-03-09,69
2020-03-10,43
2020-03-11,74
2020-03-12,50
2020-03-13,24
2020-03-14,69
2020-03-15,46
2020-03-16,68
2020-03-17,44
2020-03-18,53
2020-03-19,53
2020-03-20,47
2020-03-21,56
2020-03-22,72
2020-03-23,64
2020-03-24,62
2020-03-25,79
2020-03-26,48
2020-03-27,65
2020-03-28,76
2020-03-29,64
2020-03-30,57
2020-03-31,57
2020-04-01,57
2020-04-02,33
2020-04-03,69
2020-04-04,60
2020-04-05,54
2020-04-06,60
2020-04-07,61
2020-04-08,55
2020-04-09,71
2020-04-10,44
2020-04-11,70
2020-04-12,42
2020-04-13,34
2020-04-14,53
2020-04-15,64
2020-04-16,73
2020-04-17,70
2020-04-18,59
2020-04-19,30
2020-04-20,91
2020-04-21,86
2020-04-22,59
2020-04-23,39
2020-04-24,42
2020-04-25,53
2020-04-26,52
2020-04-27,58
2020-04-28,46
2020-04-29,50
2020-04-30,67
2020-05-01,76
2020-05-02,45
2020-05-03,97
2020-05-04,57
2020-05-05,57
2020-05-06,60
2020-05-07,76
2020-05-08,74
2020-05-09,47
2020-05-10,61
2020-05-11,70
2020-05-12,69
2020-05-13,72
2020-05-14,78
2020-05-15,63
2020-05-16,87
2020-05-17,63
2020-05-18,61
2020-05-19,61
2020-05-20,68
2020-05-21,66
2020-05-22,47
2020-05-23,44
2020-05-24,55
2020-05-25,61
2020-05-26,56
2020-05-27,58
2020-05-28,48
2020-05-29,55
2020-05-30,73
2020-05-31,65
