date,/m/02162
2020-02-01,22
2020-02-02,32
2020-02-03,28
2020-02-04,52
2020-02-05,57
2020-02-06,30
2020-02-07,68
2020-02-08,46
2020-02-09,30
2020-02-10,20
2020-02-11,21
2020-02-12,31
2020-02-13,0
2020-02-14,22
2020-02-15,80
2020-02-16,55
2020-02-17,34
2020-02-18,34
2020-02-19,41
2020-02-20,32
2020-02-21,22
2020-02-22,34
2020-02-23,29
2020-02-24,21
2020-02-25,72
2020-02-26,19
2020-02-27,20
2020-02-28,43
2020-02-29,43
2020-03-01,63
2020-03-02,39
2020-03-03,31
2020-03-04,20
2020-03-05,31
2020-03-06,21
2020-03-07,34
2020-03-08,31
2020-03-09,40
2020-03-10,20
2020-03-11,49
2020-03-12,49
2020-03-13,42
2020-03-14,50
2020-03-15,43
2020-03-16,19
2020-03-17,29
2020-03-18,49
2020-03-19,48
2020-03-20,42
2020-03-21,31
2020-03-22,31
2020-03-23,34
2020-03-24,38
2020-03-25,44
2020-03-26,65
2020-03-27,41
2020-03-28,50
2020-03-29,57
2020-03-30,26
2020-03-31,40
2020-04-01,24
2020-04-02,69
2020-04-03,80
2020-04-04,52
2020-04-05,33
2020-04-06,24
2020-04-07,30
2020-04-08,57
2020-04-09,50
2020-04-10,58
2020-04-11,49
2020-04-12,41
2020-04-13,24
2020-04-14,18
2020-04-15,27
2020-04-16,50
2020-04-17,0
2020-04-18,56
2020-04-19,44
2020-04-20,29
2020-04-21,27
2020-04-22,43
2020-04-23,42
2020-04-24,30
2020-04-25,40
2020-04-26,21
2020-04-27,42
2020-04-28,23
2020-04-29,34
2020-04-30,34
2020-05-01,29
2020-05-02,37
2020-05-03,38
2020-05-04,42
2020-05-05,49
2020-05-06,54
2020-05-07,19
2020-05-08,32
2020-05-09,34
2020-05-10,25
2020-05-11,50
2020-05-12,18
2020-05-13,41
2020-05-14,45
2020-05-15,38
2020-05-16,35
2020-05-17,22
2020-05-18,24
2020-05-19,31
2020-05-20,32
2020-05-21,42
2020-05-22,18
2020-05-23,63
2020-05-24,48
2020-05-25,18
2020-05-26,50
2020-05-27,49
2020-05-28,43
2020-05-29,38
2020-05-30,28
2020-05-31,43
2020-06-01,20
2020-06-02,35
2020-06-03,24
2020-06-04,41
2020-06-05,24
2020-06-06,28
2020-06-07,47
2020-06-08,31
2020-06-09,40
2020-06-10,51
2020-06-11,35
2020-06-12,42
2020-06-13,35
2020-06-14,34
2020-06-15,17
2020-06-16,34
2020-06-17,17
2020-06-18,30
2020-06-19,56
2020-06-20,65
2020-06-21,20
2020-06-22,36
2020-06-23,29
2020-06-24,46
2020-06-25,53
2020-06-26,58
2020-06-27,21
2020-06-28,48
2020-06-29,18
2020-06-30,49
2020-07-01,27
2020-07-02,28
2020-07-03,20
2020-07-04,21
2020-07-05,20
2020-07-06,56
2020-07-07,33
2020-07-08,37
2020-07-09,34
2020-07-10,20
2020-07-11,0
2020-07-12,48
2020-07-13,20
2020-07-14,38
2020-07-15,66
2020-07-16,46
2020-07-17,21
2020-07-18,41
2020-07-19,24
2020-07-20,56
2020-07-21,46
2020-07-22,42
2020-07-23,32
2020-07-24,31
2020-07-25,45
2020-07-26,55
2020-07-27,39
2020-07-28,40
2020-07-29,31
2020-07-30,63
2020-07-31,100
2020-08-01,22
2020-08-02,42
2020-08-03,56
2020-08-04,19
2020-08-05,73
2020-08-06,41
2020-08-07,62
2020-08-08,58
2020-08-09,64
2020-08-10,32
2020-08-11,25
2020-08-12,55
2020-08-13,48
2020-08-14,58
2020-08-15,49
2020-08-16,40
2020-08-17,43
2020-08-18,46
2020-08-19,38
2020-08-20,48
2020-08-21,19
2020-08-22,36
2020-08-23,39
2020-08-24,18
2020-08-25,38
2020-08-26,32
2020-08-27,20
2020-08-28,0
2020-08-29,32
2020-08-30,40
2020-08-31,47
2020-09-01,19
2020-09-02,30
2020-09-03,20
2020-09-04,40
2020-09-05,52
2020-09-06,65
2020-09-07,40
2020-09-08,26
2020-09-09,19
2020-09-10,34
2020-09-11,0
2020-09-12,22
2020-09-13,22
2020-09-14,33
2020-09-15,50
2020-09-16,69
2020-09-17,20
2020-09-18,21
2020-09-19,0
2020-09-20,21
2020-09-21,19
2020-09-22,20
2020-09-23,57
2020-09-24,20
2020-09-25,34
2020-09-26,52
2020-09-27,0
2020-09-28,32
