date,/m/01ftg
2020-02-01,59
2020-02-02,37
2020-02-03,0
2020-02-04,37
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,35
2020-02-11,37
2020-02-12,0
2020-02-13,37
2020-02-14,0
2020-02-15,41
2020-02-16,0
2020-02-17,0
2020-02-18,37
2020-02-19,0
2020-02-20,0
2020-02-21,39
2020-02-22,40
2020-02-23,38
2020-02-24,53
2020-02-25,0
2020-02-26,34
2020-02-27,35
2020-02-28,37
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,36
2020-03-04,54
2020-03-05,36
2020-03-06,37
2020-03-07,41
2020-03-08,37
2020-03-09,35
2020-03-10,35
2020-03-11,0
2020-03-12,34
2020-03-13,37
2020-03-14,57
2020-03-15,38
2020-03-16,33
2020-03-17,100
2020-03-18,34
2020-03-19,34
2020-03-20,32
2020-03-21,71
2020-03-22,37
2020-03-23,60
2020-03-24,33
2020-03-25,67
2020-03-26,33
2020-03-27,31
2020-03-28,35
2020-03-29,68
2020-03-30,46
2020-03-31,0
2020-04-01,63
2020-04-02,92
2020-04-03,0
2020-04-04,36
2020-04-05,77
2020-04-06,63
2020-04-07,33
2020-04-08,33
2020-04-09,68
2020-04-10,34
2020-04-11,37
2020-04-12,36
2020-04-13,63
2020-04-14,31
2020-04-15,33
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,50
2020-04-20,31
2020-04-21,0
2020-04-22,33
2020-04-23,32
2020-04-24,63
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,59
2020-04-29,0
2020-04-30,0
2020-05-01,31
2020-05-02,0
2020-05-03,34
2020-05-04,0
2020-05-05,43
2020-05-06,32
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,34
2020-05-11,0
2020-05-12,62
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,38
2020-05-18,32
2020-05-19,0
2020-05-20,33
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,32
2020-05-28,32
2020-05-29,0
2020-05-30,0
2020-05-31,37
