date,/m/03g3w
2020-02-01,41
2020-02-02,78
2020-02-03,77
2020-02-04,63
2020-02-05,79
2020-02-06,68
2020-02-07,59
2020-02-08,57
2020-02-09,87
2020-02-10,58
2020-02-11,80
2020-02-12,55
2020-02-13,68
2020-02-14,65
2020-02-15,50
2020-02-16,59
2020-02-17,80
2020-02-18,77
2020-02-19,62
2020-02-20,67
2020-02-21,66
2020-02-22,65
2020-02-23,62
2020-02-24,66
2020-02-25,66
2020-02-26,56
2020-02-27,38
2020-02-28,50
2020-02-29,71
2020-03-01,73
2020-03-02,82
2020-03-03,69
2020-03-04,62
2020-03-05,49
2020-03-06,73
2020-03-07,64
2020-03-08,89
2020-03-09,60
2020-03-10,51
2020-03-11,71
2020-03-12,63
2020-03-13,49
2020-03-14,59
2020-03-15,47
2020-03-16,53
2020-03-17,55
2020-03-18,41
2020-03-19,60
2020-03-20,64
2020-03-21,77
2020-03-22,62
2020-03-23,54
2020-03-24,64
2020-03-25,88
2020-03-26,92
2020-03-27,100
2020-03-28,72
2020-03-29,87
2020-03-30,79
2020-03-31,71
2020-04-01,71
2020-04-02,68
2020-04-03,68
2020-04-04,80
2020-04-05,79
2020-04-06,76
2020-04-07,53
2020-04-08,65
2020-04-09,64
2020-04-10,55
2020-04-11,63
2020-04-12,69
2020-04-13,72
2020-04-14,69
2020-04-15,48
2020-04-16,77
2020-04-17,57
2020-04-18,60
2020-04-19,60
2020-04-20,76
2020-04-21,71
2020-04-22,72
2020-04-23,74
2020-04-24,45
2020-04-25,69
2020-04-26,73
2020-04-27,77
2020-04-28,69
2020-04-29,53
2020-04-30,73
2020-05-01,87
2020-05-02,79
2020-05-03,84
2020-05-04,70
2020-05-05,54
2020-05-06,75
2020-05-07,71
2020-05-08,64
2020-05-09,67
2020-05-10,66
2020-05-11,81
2020-05-12,50
2020-05-13,67
2020-05-14,63
2020-05-15,55
2020-05-16,66
2020-05-17,89
2020-05-18,70
2020-05-19,64
2020-05-20,51
2020-05-21,68
2020-05-22,70
2020-05-23,56
2020-05-24,66
2020-05-25,83
2020-05-26,83
2020-05-27,57
2020-05-28,56
2020-05-29,54
2020-05-30,51
2020-05-31,91
2020-06-01,60
2020-06-02,57
2020-06-03,64
2020-06-04,62
2020-06-05,58
2020-06-06,65
2020-06-07,80
2020-06-08,55
2020-06-09,69
2020-06-10,68
2020-06-11,55
2020-06-12,59
2020-06-13,56
2020-06-14,53
2020-06-15,56
2020-06-16,65
2020-06-17,67
2020-06-18,50
2020-06-19,54
2020-06-20,64
2020-06-21,85
2020-06-22,58
2020-06-23,52
2020-06-24,36
2020-06-25,57
2020-06-26,47
2020-06-27,72
2020-06-28,69
2020-06-29,53
2020-06-30,67
2020-07-01,34
2020-07-02,39
2020-07-03,53
2020-07-04,50
2020-07-05,75
2020-07-06,36
2020-07-07,39
2020-07-08,39
2020-07-09,40
2020-07-10,70
2020-07-11,70
2020-07-12,51
2020-07-13,42
2020-07-14,58
2020-07-15,43
2020-07-16,57
2020-07-17,49
2020-07-18,50
2020-07-19,63
2020-07-20,32
2020-07-21,49
2020-07-22,41
2020-07-23,64
2020-07-24,30
2020-07-25,47
2020-07-26,71
2020-07-27,43
2020-07-28,55
2020-07-29,50
2020-07-30,52
2020-07-31,60
2020-08-01,46
2020-08-02,58
2020-08-03,54
2020-08-04,49
2020-08-05,45
2020-08-06,42
2020-08-07,77
2020-08-08,52
2020-08-09,55
2020-08-10,51
2020-08-11,49
2020-08-12,54
2020-08-13,52
2020-08-14,62
2020-08-15,33
2020-08-16,45
2020-08-17,54
2020-08-18,56
2020-08-19,58
2020-08-20,57
2020-08-21,49
2020-08-22,61
2020-08-23,72
2020-08-24,52
2020-08-25,46
2020-08-26,59
2020-08-27,46
2020-08-28,53
2020-08-29,62
2020-08-30,57
2020-08-31,69
2020-09-01,58
2020-09-02,71
2020-09-03,51
2020-09-04,77
2020-09-05,65
2020-09-06,83
2020-09-07,63
2020-09-08,54
2020-09-09,56
2020-09-10,70
2020-09-11,39
2020-09-12,54
2020-09-13,53
2020-09-14,63
2020-09-15,66
2020-09-16,67
2020-09-17,59
2020-09-18,52
2020-09-19,79
2020-09-20,64
2020-09-21,69
2020-09-22,57
2020-09-23,70
2020-09-24,64
2020-09-25,65
2020-09-26,65
2020-09-27,62
2020-09-28,51
2020-09-29,54
