date,/m/0cqfy5j_0,/m/0cqfy5j,batch_id
2021-02-01,67.0,67.0,1
2021-02-02,11.0,11.0,1
2021-02-03,33.0,33.0,1
2021-02-04,35.0,35.0,1
2021-02-05,12.0,12.0,1
2021-02-06,0.0,0.0,1
2021-02-07,12.0,12.0,1
2021-02-08,100.0,100.0,1
2021-02-09,68.0,68.0,1
2021-02-10,33.0,33.0,1
2021-02-11,34.0,34.0,1
2021-02-12,58.0,58.0,1
2021-02-13,13.0,13.0,1
2021-02-14,26.0,26.0,1
2021-02-15,11.0,11.0,1
2021-02-16,23.0,23.0,1
2021-02-17,23.0,23.0,1
2021-02-18,69.0,69.0,1
2021-02-19,24.0,24.0,1
2021-02-20,14.0,14.0,1
2021-02-21,0.0,0.0,1
2021-02-22,32.0,32.0,1
2021-02-23,47.0,47.0,1
2021-02-24,24.0,24.0,1
2021-02-25,0.0,0.0,1
2021-02-26,82.0,82.0,1
2021-02-27,13.0,13.0,1
2021-02-28,0.0,0.0,1
2021-03-01,34.0,34.0,1
2021-03-02,23.0,23.0,1
2021-03-03,35.0,35.0,1
2021-03-04,56.0,56.0,1
2021-03-05,36.0,36.0,1
2021-03-06,26.0,26.0,1
2021-03-07,25.0,25.0,1
2021-03-08,34.0,34.0,1
2021-03-09,33.0,33.0,1
2021-03-10,0.0,0.0,1
2021-03-11,11.0,11.0,1
2021-03-12,47.0,47.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,9.0,9.0,1
2021-03-16,10.0,10.0,1
2021-03-17,34.0,34.0,1
2021-03-18,0.0,0.0,1
2021-03-19,24.0,24.0,1
2021-03-20,13.0,13.0,1
2021-03-21,12.0,12.0,1
2021-03-22,34.0,34.0,1
2021-03-23,45.0,45.0,1
2021-03-24,11.0,11.0,1
2021-03-25,23.0,23.0,1
2021-03-26,60.0,60.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,12.0,12.0,1
2021-03-30,49.0,49.0,1
2021-03-31,25.0,25.0,1
2021-04-01,36.0,36.0,1
2021-04-02,49.0,49.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,24.0,24.0,1
2021-04-06,0.0,0.0,1
2021-04-07,11.0,11.0,1
2021-04-08,35.0,35.0,1
2021-04-09,35.0,35.0,1
2021-04-10,12.0,12.0,1
2021-04-11,12.0,12.0,1
2021-04-12,0.0,0.0,1
2021-04-13,12.0,12.0,1
2021-04-14,23.0,23.0,1
2021-04-15,35.0,35.0,1
2021-04-16,36.0,36.0,1
2021-04-17,27.0,27.0,1
2021-04-18,13.0,13.0,1
2021-04-19,22.0,22.0,1
2021-04-20,11.0,11.0,1
2021-04-21,0.0,0.0,1
2021-04-22,0.0,0.0,1
2021-04-23,62.0,62.0,1
2021-04-24,27.0,27.0,1
2021-04-25,0.0,0.0,1
2021-04-26,23.0,23.0,1
2021-04-27,59.0,59.0,1
2021-04-28,35.0,35.0,1
2021-04-29,11.0,11.0,1
2021-04-30,0.0,0.0,1
2021-05-01,25.0,25.0,1
2021-05-02,25.0,25.0,1
2021-05-03,55.0,55.0,1
2021-05-04,11.0,11.0,1
2021-05-05,11.0,11.0,1
2021-05-06,11.0,11.0,1
2021-05-07,12.0,12.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,22.0,22.0,1
2021-05-11,33.0,33.0,1
2021-05-12,23.0,23.0,1
2021-05-13,12.0,12.0,1
2021-05-14,12.0,12.0,1
