date,/m/0cgtj
2020-02-01,33
2020-02-02,62
2020-02-03,27
2020-02-04,61
2020-02-05,31
2020-02-06,0
2020-02-07,100
2020-02-08,50
2020-02-09,29
2020-02-10,0
2020-02-11,31
2020-02-12,30
2020-02-13,31
2020-02-14,32
2020-02-15,34
2020-02-16,30
2020-02-17,90
2020-02-18,45
2020-02-19,30
2020-02-20,62
2020-02-21,33
2020-02-22,0
2020-02-23,63
2020-02-24,44
2020-02-25,30
2020-02-26,28
2020-02-27,29
2020-02-28,92
2020-02-29,32
2020-03-01,30
2020-03-02,43
2020-03-03,30
2020-03-04,30
2020-03-05,30
2020-03-06,31
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,43
2020-03-12,28
2020-03-13,31
2020-03-14,0
2020-03-15,0
2020-03-16,28
2020-03-17,0
2020-03-18,28
2020-03-19,28
2020-03-20,0
2020-03-21,30
2020-03-22,45
2020-03-23,25
2020-03-24,0
2020-03-25,27
2020-03-26,54
2020-03-27,25
2020-03-28,29
2020-03-29,0
2020-03-30,0
2020-03-31,74
2020-04-01,26
2020-04-02,26
2020-04-03,25
2020-04-04,0
2020-04-05,32
2020-04-06,0
2020-04-07,40
2020-04-08,28
2020-04-09,28
2020-04-10,28
2020-04-11,0
2020-04-12,30
2020-04-13,52
2020-04-14,26
2020-04-15,40
2020-04-16,27
2020-04-17,27
2020-04-18,27
2020-04-19,0
2020-04-20,25
2020-04-21,26
2020-04-22,0
2020-04-23,26
2020-04-24,53
2020-04-25,29
2020-04-26,61
2020-04-27,0
2020-04-28,24
2020-04-29,25
2020-04-30,36
2020-05-01,26
2020-05-02,53
2020-05-03,28
2020-05-04,24
2020-05-05,0
2020-05-06,52
2020-05-07,27
2020-05-08,28
2020-05-09,0
2020-05-10,0
2020-05-11,24
2020-05-12,26
2020-05-13,52
2020-05-14,52
2020-05-15,55
2020-05-16,0
2020-05-17,0
2020-05-18,27
2020-05-19,27
2020-05-20,28
2020-05-21,30
2020-05-22,26
2020-05-23,0
2020-05-24,55
2020-05-25,51
2020-05-26,27
2020-05-27,40
2020-05-28,27
2020-05-29,28
2020-05-30,0
2020-05-31,0
