date,/m/0gxb2
2020-02-01,52
2020-02-02,73
2020-02-03,65
2020-02-04,49
2020-02-05,50
2020-02-06,43
2020-02-07,93
2020-02-08,35
2020-02-09,46
2020-02-10,24
2020-02-11,56
2020-02-12,36
2020-02-13,61
2020-02-14,26
2020-02-15,36
2020-02-16,24
2020-02-17,48
2020-02-18,32
2020-02-19,48
2020-02-20,100
2020-02-21,26
2020-02-22,53
2020-02-23,25
2020-02-24,35
2020-02-25,24
2020-02-26,23
2020-02-27,69
2020-02-28,74
2020-02-29,63
2020-03-01,24
2020-03-02,61
2020-03-03,24
2020-03-04,56
2020-03-05,41
2020-03-06,57
2020-03-07,44
2020-03-08,48
2020-03-09,54
2020-03-10,31
2020-03-11,69
2020-03-12,68
2020-03-13,73
2020-03-14,37
2020-03-15,58
2020-03-16,51
2020-03-17,22
2020-03-18,23
2020-03-19,34
2020-03-20,28
2020-03-21,48
2020-03-22,37
2020-03-23,20
2020-03-24,43
2020-03-25,44
2020-03-26,33
2020-03-27,20
2020-03-28,24
2020-03-29,37
2020-03-30,60
2020-03-31,40
2020-04-01,31
2020-04-02,20
2020-04-03,21
2020-04-04,40
2020-04-05,25
2020-04-06,42
2020-04-07,64
2020-04-08,22
2020-04-09,33
2020-04-10,22
2020-04-11,49
2020-04-12,36
2020-04-13,53
2020-04-14,20
2020-04-15,43
2020-04-16,33
2020-04-17,33
2020-04-18,71
2020-04-19,29
2020-04-20,54
2020-04-21,35
2020-04-22,29
2020-04-23,32
2020-04-24,32
2020-04-25,35
2020-04-26,41
2020-04-27,32
2020-04-28,20
2020-04-29,60
2020-04-30,19
2020-05-01,41
2020-05-02,35
2020-05-03,22
2020-05-04,32
2020-05-05,28
2020-05-06,21
2020-05-07,44
2020-05-08,44
2020-05-09,32
2020-05-10,67
2020-05-11,39
2020-05-12,31
2020-05-13,62
2020-05-14,31
2020-05-15,22
2020-05-16,36
2020-05-17,50
2020-05-18,21
2020-05-19,32
2020-05-20,22
2020-05-21,98
2020-05-22,28
2020-05-23,29
2020-05-24,44
2020-05-25,51
2020-05-26,32
2020-05-27,21
2020-05-28,21
2020-05-29,37
2020-05-30,36
2020-05-31,25
