date,/m/012lyw
2020-02-01,32
2020-02-02,18
2020-02-03,48
2020-02-04,36
2020-02-05,55
2020-02-06,28
2020-02-07,39
2020-02-08,46
2020-02-09,40
2020-02-10,26
2020-02-11,53
2020-02-12,35
2020-02-13,60
2020-02-14,25
2020-02-15,40
2020-02-16,47
2020-02-17,88
2020-02-18,41
2020-02-19,53
2020-02-20,43
2020-02-21,45
2020-02-22,66
2020-02-23,55
2020-02-24,46
2020-02-25,58
2020-02-26,67
2020-02-27,51
2020-02-28,30
2020-02-29,50
2020-03-01,35
2020-03-02,22
2020-03-03,59
2020-03-04,35
2020-03-05,66
2020-03-06,36
2020-03-07,83
2020-03-08,48
2020-03-09,29
2020-03-10,62
2020-03-11,73
2020-03-12,28
2020-03-13,18
2020-03-14,43
2020-03-15,43
2020-03-16,59
2020-03-17,38
2020-03-18,67
2020-03-19,71
2020-03-20,26
2020-03-21,76
2020-03-22,45
2020-03-23,49
2020-03-24,72
2020-03-25,43
2020-03-26,53
2020-03-27,25
2020-03-28,69
2020-03-29,60
2020-03-30,40
2020-03-31,55
2020-04-01,41
2020-04-02,55
2020-04-03,53
2020-04-04,71
2020-04-05,56
2020-04-06,30
2020-04-07,24
2020-04-08,32
2020-04-09,49
2020-04-10,41
2020-04-11,54
2020-04-12,35
2020-04-13,46
2020-04-14,40
2020-04-15,47
2020-04-16,32
2020-04-17,37
2020-04-18,47
2020-04-19,43
2020-04-20,50
2020-04-21,42
2020-04-22,59
2020-04-23,26
2020-04-24,31
2020-04-25,29
2020-04-26,30
2020-04-27,62
2020-04-28,29
2020-04-29,59
2020-04-30,62
2020-05-01,45
2020-05-02,62
2020-05-03,60
2020-05-04,43
2020-05-05,65
2020-05-06,31
2020-05-07,27
2020-05-08,59
2020-05-09,58
2020-05-10,49
2020-05-11,28
2020-05-12,45
2020-05-13,55
2020-05-14,26
2020-05-15,24
2020-05-16,48
2020-05-17,31
2020-05-18,62
2020-05-19,21
2020-05-20,54
2020-05-21,48
2020-05-22,36
2020-05-23,38
2020-05-24,43
2020-05-25,50
2020-05-26,37
2020-05-27,52
2020-05-28,31
2020-05-29,49
2020-05-30,27
2020-05-31,100
