date,/m/03ng0t
2020-02-01,54
2020-02-02,73
2020-02-03,28
2020-02-04,0
2020-02-05,21
2020-02-06,66
2020-02-07,0
2020-02-08,23
2020-02-09,49
2020-02-10,69
2020-02-11,41
2020-02-12,41
2020-02-13,21
2020-02-14,0
2020-02-15,46
2020-02-16,81
2020-02-17,40
2020-02-18,20
2020-02-19,20
2020-02-20,0
2020-02-21,66
2020-02-22,68
2020-02-23,21
2020-02-24,40
2020-02-25,20
2020-02-26,19
2020-02-27,39
2020-02-28,42
2020-02-29,21
2020-03-01,41
2020-03-02,39
2020-03-03,30
2020-03-04,60
2020-03-05,72
2020-03-06,31
2020-03-07,44
2020-03-08,61
2020-03-09,39
2020-03-10,67
2020-03-11,39
2020-03-12,57
2020-03-13,62
2020-03-14,42
2020-03-15,84
2020-03-16,37
2020-03-17,38
2020-03-18,29
2020-03-19,28
2020-03-20,18
2020-03-21,100
2020-03-22,31
2020-03-23,43
2020-03-24,45
2020-03-25,18
2020-03-26,18
2020-03-27,42
2020-03-28,49
2020-03-29,37
2020-03-30,17
2020-03-31,26
2020-04-01,44
2020-04-02,17
2020-04-03,69
2020-04-04,31
2020-04-05,21
2020-04-06,17
2020-04-07,18
2020-04-08,0
2020-04-09,28
2020-04-10,38
2020-04-11,0
2020-04-12,20
2020-04-13,35
2020-04-14,0
2020-04-15,18
2020-04-16,18
2020-04-17,18
2020-04-18,18
2020-04-19,28
2020-04-20,34
2020-04-21,36
2020-04-22,19
2020-04-23,18
2020-04-24,18
2020-04-25,20
2020-04-26,21
2020-04-27,18
2020-04-28,0
2020-04-29,0
2020-04-30,24
2020-05-01,17
2020-05-02,18
2020-05-03,19
2020-05-04,33
2020-05-05,48
2020-05-06,18
2020-05-07,18
2020-05-08,37
2020-05-09,60
2020-05-10,19
2020-05-11,0
2020-05-12,18
2020-05-13,17
2020-05-14,0
2020-05-15,18
2020-05-16,20
2020-05-17,21
2020-05-18,0
2020-05-19,36
2020-05-20,0
2020-05-21,21
2020-05-22,27
2020-05-23,18
2020-05-24,0
2020-05-25,0
2020-05-26,18
2020-05-27,18
2020-05-28,18
2020-05-29,19
2020-05-30,62
2020-05-31,21
