date,/m/02fbjn
2020-02-01,6
2020-02-02,6
2020-02-03,10
2020-02-04,12
2020-02-05,10
2020-02-06,0
2020-02-07,9
2020-02-08,12
2020-02-09,5
2020-02-10,11
2020-02-11,6
2020-02-12,0
2020-02-13,0
2020-02-14,12
2020-02-15,19
2020-02-16,0
2020-02-17,6
2020-02-18,6
2020-02-19,8
2020-02-20,6
2020-02-21,10
2020-02-22,0
2020-02-23,0
2020-02-24,9
2020-02-25,15
2020-02-26,11
2020-02-27,20
2020-02-28,14
2020-02-29,28
2020-03-01,30
2020-03-02,100
2020-03-03,84
2020-03-04,84
2020-03-05,45
2020-03-06,36
2020-03-07,24
2020-03-08,28
2020-03-09,36
2020-03-10,59
2020-03-11,55
2020-03-12,60
2020-03-13,59
2020-03-14,52
2020-03-15,69
2020-03-16,83
2020-03-17,73
2020-03-18,43
2020-03-19,71
2020-03-20,64
2020-03-21,54
2020-03-22,62
2020-03-23,39
2020-03-24,35
2020-03-25,31
2020-03-26,30
2020-03-27,45
2020-03-28,33
2020-03-29,19
2020-03-30,28
2020-03-31,20
2020-04-01,26
2020-04-02,24
2020-04-03,19
2020-04-04,26
2020-04-05,18
2020-04-06,10
2020-04-07,25
2020-04-08,20
2020-04-09,24
2020-04-10,13
2020-04-11,21
2020-04-12,7
2020-04-13,10
2020-04-14,19
2020-04-15,13
2020-04-16,31
2020-04-17,14
2020-04-18,10
2020-04-19,15
2020-04-20,21
2020-04-21,28
2020-04-22,14
2020-04-23,18
2020-04-24,65
2020-04-25,29
2020-04-26,21
2020-04-27,38
2020-04-28,20
2020-04-29,14
2020-04-30,18
2020-05-01,19
2020-05-02,25
2020-05-03,17
2020-05-04,13
2020-05-05,40
2020-05-06,20
2020-05-07,20
2020-05-08,19
2020-05-09,37
2020-05-10,21
2020-05-11,26
2020-05-12,24
2020-05-13,24
2020-05-14,26
2020-05-15,20
2020-05-16,19
2020-05-17,17
2020-05-18,23
2020-05-19,25
2020-05-20,9
2020-05-21,8
2020-05-22,20
2020-05-23,26
2020-05-24,9
2020-05-25,11
2020-05-26,20
2020-05-27,15
2020-05-28,15
2020-05-29,8
2020-05-30,15
2020-05-31,12
