date,/m/0cnq0
2020-02-01,29
2020-02-02,18
2020-02-03,0
2020-02-04,31
2020-02-05,37
2020-02-06,19
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,18
2020-02-12,18
2020-02-13,18
2020-02-14,19
2020-02-15,20
2020-02-16,18
2020-02-17,27
2020-02-18,27
2020-02-19,18
2020-02-20,28
2020-02-21,19
2020-02-22,0
2020-02-23,19
2020-02-24,18
2020-02-25,18
2020-02-26,0
2020-02-27,26
2020-02-28,19
2020-02-29,19
2020-03-01,0
2020-03-02,17
2020-03-03,27
2020-03-04,0
2020-03-05,18
2020-03-06,18
2020-03-07,20
2020-03-08,18
2020-03-09,26
2020-03-10,0
2020-03-11,0
2020-03-12,17
2020-03-13,18
2020-03-14,19
2020-03-15,19
2020-03-16,22
2020-03-17,17
2020-03-18,17
2020-03-19,17
2020-03-20,0
2020-03-21,18
2020-03-22,45
2020-03-23,15
2020-03-24,40
2020-03-25,16
2020-03-26,16
2020-03-27,20
2020-03-28,35
2020-03-29,17
2020-03-30,15
2020-03-31,31
2020-04-01,41
2020-04-02,23
2020-04-03,15
2020-04-04,36
2020-04-05,28
2020-04-06,46
2020-04-07,43
2020-04-08,55
2020-04-09,55
2020-04-10,72
2020-04-11,30
2020-04-12,42
2020-04-13,68
2020-04-14,41
2020-04-15,43
2020-04-16,38
2020-04-17,49
2020-04-18,48
2020-04-19,22
2020-04-20,46
2020-04-21,58
2020-04-22,88
2020-04-23,69
2020-04-24,32
2020-04-25,35
2020-04-26,67
2020-04-27,32
2020-04-28,34
2020-04-29,30
2020-04-30,29
2020-05-01,46
2020-05-02,32
2020-05-03,28
2020-05-04,15
2020-05-05,42
2020-05-06,16
2020-05-07,16
2020-05-08,16
2020-05-09,18
2020-05-10,17
2020-05-11,15
2020-05-12,41
2020-05-13,54
2020-05-14,16
2020-05-15,0
2020-05-16,36
2020-05-17,44
2020-05-18,0
2020-05-19,27
2020-05-20,50
2020-05-21,55
2020-05-22,31
2020-05-23,33
2020-05-24,25
2020-05-25,0
2020-05-26,22
2020-05-27,48
2020-05-28,37
2020-05-29,50
2020-05-30,100
2020-05-31,49
