date,/m/039xj_
2020-02-01,82
2020-02-02,65
2020-02-03,74
2020-02-04,51
2020-02-05,75
2020-02-06,83
2020-02-07,60
2020-02-08,65
2020-02-09,61
2020-02-10,66
2020-02-11,50
2020-02-12,59
2020-02-13,65
2020-02-14,68
2020-02-15,57
2020-02-16,99
2020-02-17,59
2020-02-18,59
2020-02-19,73
2020-02-20,37
2020-02-21,74
2020-02-22,51
2020-02-23,38
2020-02-24,58
2020-02-25,80
2020-02-26,60
2020-02-27,82
2020-02-28,47
2020-02-29,72
2020-03-01,73
2020-03-02,78
2020-03-03,63
2020-03-04,54
2020-03-05,46
2020-03-06,51
2020-03-07,49
2020-03-08,54
2020-03-09,53
2020-03-10,51
2020-03-11,95
2020-03-12,42
2020-03-13,51
2020-03-14,61
2020-03-15,42
2020-03-16,78
2020-03-17,76
2020-03-18,43
2020-03-19,59
2020-03-20,64
2020-03-21,54
2020-03-22,55
2020-03-23,53
2020-03-24,65
2020-03-25,75
2020-03-26,61
2020-03-27,57
2020-03-28,75
2020-03-29,100
2020-03-30,34
2020-03-31,61
2020-04-01,27
2020-04-02,61
2020-04-03,92
2020-04-04,32
2020-04-05,57
2020-04-06,51
2020-04-07,40
2020-04-08,45
2020-04-09,58
2020-04-10,33
2020-04-11,78
2020-04-12,32
2020-04-13,63
2020-04-14,39
2020-04-15,49
2020-04-16,74
2020-04-17,82
2020-04-18,48
2020-04-19,45
2020-04-20,57
2020-04-21,80
2020-04-22,50
2020-04-23,56
2020-04-24,47
2020-04-25,62
2020-04-26,51
2020-04-27,40
2020-04-28,55
2020-04-29,61
2020-04-30,73
2020-05-01,50
2020-05-02,64
2020-05-03,46
2020-05-04,44
2020-05-05,47
2020-05-06,51
2020-05-07,62
2020-05-08,54
2020-05-09,98
2020-05-10,51
2020-05-11,44
2020-05-12,82
2020-05-13,46
2020-05-14,63
2020-05-15,83
2020-05-16,96
2020-05-17,80
2020-05-18,68
2020-05-19,69
2020-05-20,37
2020-05-21,83
2020-05-22,32
2020-05-23,74
2020-05-24,75
2020-05-25,50
2020-05-26,45
2020-05-27,52
2020-05-28,40
2020-05-29,63
2020-05-30,73
2020-05-31,56
