date,/m/08y7p8
2020-02-01,52
2020-02-02,61
2020-02-03,87
2020-02-04,59
2020-02-05,47
2020-02-06,69
2020-02-07,53
2020-02-08,61
2020-02-09,49
2020-02-10,38
2020-02-11,42
2020-02-12,44
2020-02-13,52
2020-02-14,52
2020-02-15,51
2020-02-16,55
2020-02-17,57
2020-02-18,44
2020-02-19,37
2020-02-20,52
2020-02-21,37
2020-02-22,59
2020-02-23,58
2020-02-24,77
2020-02-25,48
2020-02-26,48
2020-02-27,55
2020-02-28,38
2020-02-29,61
2020-03-01,65
2020-03-02,66
2020-03-03,62
2020-03-04,53
2020-03-05,58
2020-03-06,23
2020-03-07,48
2020-03-08,62
2020-03-09,65
2020-03-10,46
2020-03-11,31
2020-03-12,41
2020-03-13,35
2020-03-14,50
2020-03-15,52
2020-03-16,58
2020-03-17,30
2020-03-18,41
2020-03-19,53
2020-03-20,55
2020-03-21,48
2020-03-22,44
2020-03-23,27
2020-03-24,52
2020-03-25,67
2020-03-26,66
2020-03-27,58
2020-03-28,61
2020-03-29,63
2020-03-30,62
2020-03-31,56
2020-04-01,62
2020-04-02,66
2020-04-03,45
2020-04-04,81
2020-04-05,46
2020-04-06,51
2020-04-07,51
2020-04-08,65
2020-04-09,76
2020-04-10,77
2020-04-11,72
2020-04-12,71
2020-04-13,70
2020-04-14,72
2020-04-15,69
2020-04-16,63
2020-04-17,54
2020-04-18,82
2020-04-19,69
2020-04-20,56
2020-04-21,65
2020-04-22,59
2020-04-23,57
2020-04-24,60
2020-04-25,61
2020-04-26,85
2020-04-27,63
2020-04-28,49
2020-04-29,42
2020-04-30,74
2020-05-01,55
2020-05-02,71
2020-05-03,100
2020-05-04,57
2020-05-05,62
2020-05-06,74
2020-05-07,52
2020-05-08,73
2020-05-09,52
2020-05-10,60
2020-05-11,46
2020-05-12,69
2020-05-13,73
2020-05-14,50
2020-05-15,59
2020-05-16,53
2020-05-17,43
2020-05-18,51
2020-05-19,68
2020-05-20,53
2020-05-21,91
2020-05-22,64
2020-05-23,57
2020-05-24,78
2020-05-25,70
2020-05-26,52
2020-05-27,51
2020-05-28,61
2020-05-29,64
2020-05-30,65
2020-05-31,83
