date,/m/0lbxz
2020-02-01,5
2020-02-02,7
2020-02-03,6
2020-02-04,5
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,6
2020-02-09,6
2020-02-10,6
2020-02-11,5
2020-02-12,6
2020-02-13,6
2020-02-14,7
2020-02-15,6
2020-02-16,7
2020-02-17,6
2020-02-18,5
2020-02-19,7
2020-02-20,6
2020-02-21,6
2020-02-22,7
2020-02-23,8
2020-02-24,5
2020-02-25,7
2020-02-26,6
2020-02-27,7
2020-02-28,7
2020-02-29,8
2020-03-01,11
2020-03-02,5
2020-03-03,6
2020-03-04,7
2020-03-05,6
2020-03-06,5
2020-03-07,8
2020-03-08,8
2020-03-09,6
2020-03-10,6
2020-03-11,6
2020-03-12,5
2020-03-13,6
2020-03-14,7
2020-03-15,4
2020-03-16,6
2020-03-17,6
2020-03-18,9
2020-03-19,7
2020-03-20,6
2020-03-21,8
2020-03-22,8
2020-03-23,8
2020-03-24,7
2020-03-25,6
2020-03-26,7
2020-03-27,7
2020-03-28,6
2020-03-29,7
2020-03-30,6
2020-03-31,5
2020-04-01,5
2020-04-02,7
2020-04-03,8
2020-04-04,8
2020-04-05,8
2020-04-06,9
2020-04-07,9
2020-04-08,8
2020-04-09,5
2020-04-10,6
2020-04-11,9
2020-04-12,10
2020-04-13,10
2020-04-14,9
2020-04-15,8
2020-04-16,8
2020-04-17,11
2020-04-18,12
2020-04-19,10
2020-04-20,9
2020-04-21,10
2020-04-22,10
2020-04-23,12
2020-04-24,11
2020-04-25,15
2020-04-26,13
2020-04-27,11
2020-04-28,13
2020-04-29,13
2020-04-30,15
2020-05-01,19
2020-05-02,18
2020-05-03,27
2020-05-04,18
2020-05-05,18
2020-05-06,20
2020-05-07,19
2020-05-08,23
2020-05-09,41
2020-05-10,100
2020-05-11,11
2020-05-12,7
2020-05-13,7
2020-05-14,6
2020-05-15,6
2020-05-16,8
2020-05-17,9
2020-05-18,5
2020-05-19,6
2020-05-20,7
2020-05-21,8
2020-05-22,6
2020-05-23,8
2020-05-24,8
2020-05-25,7
2020-05-26,7
2020-05-27,8
2020-05-28,5
2020-05-29,7
2020-05-30,9
2020-05-31,11
