date,/m/01hwqk
2020-02-01,43
2020-02-02,25
2020-02-03,36
2020-02-04,37
2020-02-05,25
2020-02-06,39
2020-02-07,80
2020-02-08,27
2020-02-09,58
2020-02-10,23
2020-02-11,36
2020-02-12,36
2020-02-13,37
2020-02-14,39
2020-02-15,40
2020-02-16,72
2020-02-17,24
2020-02-18,36
2020-02-19,24
2020-02-20,25
2020-02-21,26
2020-02-22,71
2020-02-23,34
2020-02-24,47
2020-02-25,47
2020-02-26,38
2020-02-27,35
2020-02-28,25
2020-02-29,38
2020-03-01,32
2020-03-02,34
2020-03-03,24
2020-03-04,40
2020-03-05,57
2020-03-06,41
2020-03-07,40
2020-03-08,48
2020-03-09,35
2020-03-10,38
2020-03-11,46
2020-03-12,23
2020-03-13,37
2020-03-14,100
2020-03-15,74
2020-03-16,44
2020-03-17,45
2020-03-18,30
2020-03-19,52
2020-03-20,28
2020-03-21,47
2020-03-22,24
2020-03-23,94
2020-03-24,51
2020-03-25,22
2020-03-26,36
2020-03-27,47
2020-03-28,24
2020-03-29,88
2020-03-30,54
2020-03-31,41
2020-04-01,55
2020-04-02,41
2020-04-03,34
2020-04-04,32
2020-04-05,26
2020-04-06,83
2020-04-07,57
2020-04-08,66
2020-04-09,22
2020-04-10,67
2020-04-11,41
2020-04-12,40
2020-04-13,21
2020-04-14,41
2020-04-15,64
2020-04-16,37
2020-04-17,66
2020-04-18,86
2020-04-19,51
2020-04-20,20
2020-04-21,43
2020-04-22,37
2020-04-23,28
2020-04-24,63
2020-04-25,79
2020-04-26,49
2020-04-27,56
2020-04-28,39
2020-04-29,40
2020-04-30,39
2020-05-01,48
2020-05-02,56
2020-05-03,45
2020-05-04,39
2020-05-05,19
2020-05-06,35
2020-05-07,44
2020-05-08,44
2020-05-09,24
2020-05-10,37
2020-05-11,58
2020-05-12,41
2020-05-13,31
2020-05-14,35
2020-05-15,55
2020-05-16,81
2020-05-17,67
2020-05-18,64
2020-05-19,65
2020-05-20,55
2020-05-21,73
2020-05-22,42
2020-05-23,44
2020-05-24,74
2020-05-25,41
2020-05-26,65
2020-05-27,35
2020-05-28,43
2020-05-29,33
2020-05-30,24
2020-05-31,49
