date,/m/0rws
2020-02-01,21
2020-02-02,47
2020-02-03,53
2020-02-04,33
2020-02-05,41
2020-02-06,35
2020-02-07,33
2020-02-08,22
2020-02-09,56
2020-02-10,64
2020-02-11,30
2020-02-12,40
2020-02-13,30
2020-02-14,32
2020-02-15,22
2020-02-16,46
2020-02-17,20
2020-02-18,19
2020-02-19,33
2020-02-20,20
2020-02-21,32
2020-02-22,33
2020-02-23,41
2020-02-24,19
2020-02-25,29
2020-02-26,19
2020-02-27,38
2020-02-28,30
2020-02-29,52
2020-03-01,26
2020-03-02,94
2020-03-03,26
2020-03-04,52
2020-03-05,40
2020-03-06,70
2020-03-07,50
2020-03-08,59
2020-03-09,19
2020-03-10,50
2020-03-11,56
2020-03-12,55
2020-03-13,47
2020-03-14,41
2020-03-15,34
2020-03-16,71
2020-03-17,37
2020-03-18,31
2020-03-19,82
2020-03-20,40
2020-03-21,39
2020-03-22,60
2020-03-23,49
2020-03-24,41
2020-03-25,36
2020-03-26,26
2020-03-27,16
2020-03-28,45
2020-03-29,54
2020-03-30,49
2020-03-31,44
2020-04-01,34
2020-04-02,28
2020-04-03,50
2020-04-04,53
2020-04-05,48
2020-04-06,23
2020-04-07,59
2020-04-08,42
2020-04-09,60
2020-04-10,61
2020-04-11,100
2020-04-12,52
2020-04-13,74
2020-04-14,25
2020-04-15,58
2020-04-16,81
2020-04-17,54
2020-04-18,44
2020-04-19,30
2020-04-20,28
2020-04-21,46
2020-04-22,60
2020-04-23,58
2020-04-24,40
2020-04-25,19
2020-04-26,40
2020-04-27,40
2020-04-28,37
2020-04-29,89
2020-04-30,53
2020-05-01,45
2020-05-02,40
2020-05-03,36
2020-05-04,32
2020-05-05,31
2020-05-06,57
2020-05-07,36
2020-05-08,36
2020-05-09,26
2020-05-10,30
2020-05-11,16
2020-05-12,45
2020-05-13,50
2020-05-14,51
2020-05-15,30
2020-05-16,66
2020-05-17,34
2020-05-18,64
2020-05-19,47
2020-05-20,24
2020-05-21,33
2020-05-22,46
2020-05-23,42
2020-05-24,36
2020-05-25,33
2020-05-26,35
2020-05-27,29
2020-05-28,81
2020-05-29,42
2020-05-30,59
2020-05-31,47
