date,/m/09dzg
2020-02-01,48
2020-02-02,34
2020-02-03,40
2020-02-04,38
2020-02-05,46
2020-02-06,83
2020-02-07,37
2020-02-08,98
2020-02-09,36
2020-02-10,29
2020-02-11,37
2020-02-12,45
2020-02-13,53
2020-02-14,56
2020-02-15,49
2020-02-16,66
2020-02-17,44
2020-02-18,59
2020-02-19,33
2020-02-20,57
2020-02-21,48
2020-02-22,73
2020-02-23,62
2020-02-24,22
2020-02-25,36
2020-02-26,91
2020-02-27,35
2020-02-28,54
2020-02-29,78
2020-03-01,52
2020-03-02,64
2020-03-03,44
2020-03-04,33
2020-03-05,45
2020-03-06,45
2020-03-07,73
2020-03-08,37
2020-03-09,43
2020-03-10,49
2020-03-11,28
2020-03-12,21
2020-03-13,34
2020-03-14,46
2020-03-15,23
2020-03-16,33
2020-03-17,48
2020-03-18,74
2020-03-19,41
2020-03-20,59
2020-03-21,29
2020-03-22,56
2020-03-23,37
2020-03-24,30
2020-03-25,61
2020-03-26,50
2020-03-27,43
2020-03-28,43
2020-03-29,48
2020-03-30,50
2020-03-31,25
2020-04-01,70
2020-04-02,50
2020-04-03,63
2020-04-04,37
2020-04-05,55
2020-04-06,95
2020-04-07,50
2020-04-08,47
2020-04-09,61
2020-04-10,82
2020-04-11,60
2020-04-12,96
2020-04-13,71
2020-04-14,50
2020-04-15,20
2020-04-16,74
2020-04-17,60
2020-04-18,73
2020-04-19,40
2020-04-20,100
2020-04-21,85
2020-04-22,68
2020-04-23,85
2020-04-24,39
2020-04-25,58
2020-04-26,68
2020-04-27,65
2020-04-28,48
2020-04-29,43
2020-04-30,47
2020-05-01,88
2020-05-02,98
2020-05-03,41
2020-05-04,65
2020-05-05,76
2020-05-06,48
2020-05-07,47
2020-05-08,67
2020-05-09,58
2020-05-10,76
2020-05-11,42
2020-05-12,38
2020-05-13,50
2020-05-14,58
2020-05-15,54
2020-05-16,75
2020-05-17,92
2020-05-18,49
2020-05-19,40
2020-05-20,61
2020-05-21,83
2020-05-22,32
2020-05-23,68
2020-05-24,61
2020-05-25,69
2020-05-26,53
2020-05-27,72
2020-05-28,33
2020-05-29,55
2020-05-30,37
2020-05-31,46
