date,/m/059h5_
2020-02-01,65
2020-02-02,41
2020-02-03,48
2020-02-04,31
2020-02-05,31
2020-02-06,43
2020-02-07,67
2020-02-08,44
2020-02-09,32
2020-02-10,58
2020-02-11,60
2020-02-12,20
2020-02-13,48
2020-02-14,29
2020-02-15,37
2020-02-16,60
2020-02-17,20
2020-02-18,30
2020-02-19,80
2020-02-20,0
2020-02-21,50
2020-02-22,45
2020-02-23,42
2020-02-24,39
2020-02-25,29
2020-02-26,28
2020-02-27,45
2020-02-28,31
2020-02-29,35
2020-03-01,40
2020-03-02,76
2020-03-03,100
2020-03-04,73
2020-03-05,40
2020-03-06,82
2020-03-07,51
2020-03-08,60
2020-03-09,48
2020-03-10,57
2020-03-11,44
2020-03-12,31
2020-03-13,27
2020-03-14,62
2020-03-15,62
2020-03-16,54
2020-03-17,56
2020-03-18,38
2020-03-19,50
2020-03-20,44
2020-03-21,30
2020-03-22,61
2020-03-23,42
2020-03-24,36
2020-03-25,31
2020-03-26,18
2020-03-27,17
2020-03-28,39
2020-03-29,49
2020-03-30,39
2020-03-31,34
2020-04-01,29
2020-04-02,50
2020-04-03,59
2020-04-04,60
2020-04-05,49
2020-04-06,17
2020-04-07,30
2020-04-08,67
2020-04-09,67
2020-04-10,49
2020-04-11,61
2020-04-12,53
2020-04-13,64
2020-04-14,23
2020-04-15,53
2020-04-16,49
2020-04-17,36
2020-04-18,71
2020-04-19,36
2020-04-20,51
2020-04-21,29
2020-04-22,55
2020-04-23,47
2020-04-24,35
2020-04-25,49
2020-04-26,51
2020-04-27,29
2020-04-28,49
2020-04-29,74
2020-04-30,80
2020-05-01,40
2020-05-02,41
2020-05-03,49
2020-05-04,0
2020-05-05,53
2020-05-06,64
2020-05-07,30
2020-05-08,45
2020-05-09,59
2020-05-10,50
2020-05-11,40
2020-05-12,23
2020-05-13,51
2020-05-14,23
2020-05-15,49
2020-05-16,40
2020-05-17,48
2020-05-18,24
2020-05-19,48
2020-05-20,49
2020-05-21,47
2020-05-22,46
2020-05-23,49
2020-05-24,18
2020-05-25,34
2020-05-26,30
2020-05-27,41
2020-05-28,30
2020-05-29,37
2020-05-30,40
2020-05-31,27
