date,/m/0g5v3y
2020-02-01,43
2020-02-02,61
2020-02-03,36
2020-02-04,61
2020-02-05,41
2020-02-06,42
2020-02-07,66
2020-02-08,0
2020-02-09,64
2020-02-10,39
2020-02-11,40
2020-02-12,53
2020-02-13,40
2020-02-14,42
2020-02-15,45
2020-02-16,39
2020-02-17,40
2020-02-18,40
2020-02-19,100
2020-02-20,82
2020-02-21,65
2020-02-22,45
2020-02-23,0
2020-02-24,39
2020-02-25,0
2020-02-26,38
2020-02-27,0
2020-02-28,41
2020-02-29,84
2020-03-01,0
2020-03-02,57
2020-03-03,66
2020-03-04,0
2020-03-05,40
2020-03-06,41
2020-03-07,0
2020-03-08,40
2020-03-09,58
2020-03-10,37
2020-03-11,0
2020-03-12,37
2020-03-13,41
2020-03-14,55
2020-03-15,41
2020-03-16,36
2020-03-17,37
2020-03-18,38
2020-03-19,37
2020-03-20,35
2020-03-21,78
2020-03-22,40
2020-03-23,33
2020-03-24,36
2020-03-25,49
2020-03-26,54
2020-03-27,33
2020-03-28,39
2020-03-29,0
2020-03-30,0
2020-03-31,34
2020-04-01,34
2020-04-02,67
2020-04-03,68
2020-04-04,0
2020-04-05,42
2020-04-06,46
2020-04-07,36
2020-04-08,36
2020-04-09,36
2020-04-10,37
2020-04-11,60
2020-04-12,40
2020-04-13,68
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,36
2020-04-18,35
2020-04-19,54
2020-04-20,0
2020-04-21,35
2020-04-22,0
2020-04-23,35
2020-04-24,35
2020-04-25,39
2020-04-26,41
2020-04-27,35
2020-04-28,32
2020-04-29,55
2020-04-30,32
2020-05-01,34
2020-05-02,35
2020-05-03,37
2020-05-04,32
2020-05-05,47
2020-05-06,70
2020-05-07,36
2020-05-08,0
2020-05-09,0
2020-05-10,75
2020-05-11,32
2020-05-12,0
2020-05-13,0
2020-05-14,35
2020-05-15,0
2020-05-16,40
2020-05-17,41
2020-05-18,35
2020-05-19,35
2020-05-20,36
2020-05-21,40
2020-05-22,35
2020-05-23,49
2020-05-24,0
2020-05-25,34
2020-05-26,0
2020-05-27,0
2020-05-28,35
2020-05-29,0
2020-05-30,0
2020-05-31,41
