date,/m/0bp_wy
2020-02-01,62
2020-02-02,58
2020-02-03,59
2020-02-04,39
2020-02-05,65
2020-02-06,67
2020-02-07,35
2020-02-08,59
2020-02-09,44
2020-02-10,51
2020-02-11,67
2020-02-12,58
2020-02-13,53
2020-02-14,56
2020-02-15,50
2020-02-16,53
2020-02-17,64
2020-02-18,56
2020-02-19,52
2020-02-20,60
2020-02-21,56
2020-02-22,68
2020-02-23,69
2020-02-24,51
2020-02-25,36
2020-02-26,45
2020-02-27,44
2020-02-28,36
2020-02-29,68
2020-03-01,67
2020-03-02,60
2020-03-03,53
2020-03-04,65
2020-03-05,49
2020-03-06,50
2020-03-07,57
2020-03-08,66
2020-03-09,46
2020-03-10,49
2020-03-11,46
2020-03-12,41
2020-03-13,39
2020-03-14,40
2020-03-15,55
2020-03-16,37
2020-03-17,40
2020-03-18,48
2020-03-19,41
2020-03-20,47
2020-03-21,61
2020-03-22,54
2020-03-23,64
2020-03-24,67
2020-03-25,60
2020-03-26,66
2020-03-27,54
2020-03-28,76
2020-03-29,56
2020-03-30,63
2020-03-31,80
2020-04-01,84
2020-04-02,69
2020-04-03,55
2020-04-04,95
2020-04-05,74
2020-04-06,93
2020-04-07,67
2020-04-08,78
2020-04-09,87
2020-04-10,83
2020-04-11,85
2020-04-12,93
2020-04-13,57
2020-04-14,82
2020-04-15,75
2020-04-16,79
2020-04-17,76
2020-04-18,91
2020-04-19,83
2020-04-20,86
2020-04-21,81
2020-04-22,63
2020-04-23,85
2020-04-24,55
2020-04-25,91
2020-04-26,83
2020-04-27,78
2020-04-28,76
2020-04-29,57
2020-04-30,77
2020-05-01,77
2020-05-02,75
2020-05-03,75
2020-05-04,51
2020-05-05,76
2020-05-06,57
2020-05-07,60
2020-05-08,72
2020-05-09,51
2020-05-10,53
2020-05-11,80
2020-05-12,64
2020-05-13,59
2020-05-14,56
2020-05-15,60
2020-05-16,65
2020-05-17,100
2020-05-18,70
2020-05-19,75
2020-05-20,72
2020-05-21,65
2020-05-22,68
2020-05-23,78
2020-05-24,74
2020-05-25,58
2020-05-26,63
2020-05-27,69
2020-05-28,61
2020-05-29,66
2020-05-30,66
2020-05-31,80
