date,/m/0lvmz
2020-02-01,37
2020-02-02,35
2020-02-03,61
2020-02-04,0
2020-02-05,69
2020-02-06,37
2020-02-07,50
2020-02-08,56
2020-02-09,33
2020-02-10,0
2020-02-11,68
2020-02-12,34
2020-02-13,51
2020-02-14,49
2020-02-15,0
2020-02-16,50
2020-02-17,68
2020-02-18,34
2020-02-19,34
2020-02-20,47
2020-02-21,37
2020-02-22,56
2020-02-23,71
2020-02-24,100
2020-02-25,33
2020-02-26,48
2020-02-27,32
2020-02-28,0
2020-02-29,54
2020-03-01,51
2020-03-02,32
2020-03-03,34
2020-03-04,0
2020-03-05,57
2020-03-06,35
2020-03-07,55
2020-03-08,34
2020-03-09,66
2020-03-10,48
2020-03-11,64
2020-03-12,32
2020-03-13,35
2020-03-14,87
2020-03-15,53
2020-03-16,41
2020-03-17,63
2020-03-18,48
2020-03-19,32
2020-03-20,30
2020-03-21,50
2020-03-22,0
2020-03-23,47
2020-03-24,30
2020-03-25,93
2020-03-26,46
2020-03-27,47
2020-03-28,77
2020-03-29,62
2020-03-30,57
2020-03-31,28
2020-04-01,59
2020-04-02,29
2020-04-03,58
2020-04-04,91
2020-04-05,60
2020-04-06,29
2020-04-07,76
2020-04-08,72
2020-04-09,63
2020-04-10,47
2020-04-11,34
2020-04-12,45
2020-04-13,79
2020-04-14,29
2020-04-15,50
2020-04-16,46
2020-04-17,62
2020-04-18,75
2020-04-19,51
2020-04-20,29
2020-04-21,60
2020-04-22,47
2020-04-23,40
2020-04-24,59
2020-04-25,50
2020-04-26,35
2020-04-27,60
2020-04-28,28
2020-04-29,28
2020-04-30,27
2020-05-01,38
2020-05-02,75
2020-05-03,64
2020-05-04,41
2020-05-05,53
2020-05-06,44
2020-05-07,62
2020-05-08,51
2020-05-09,83
2020-05-10,47
2020-05-11,27
2020-05-12,29
2020-05-13,29
2020-05-14,79
2020-05-15,77
2020-05-16,57
2020-05-17,0
2020-05-18,45
2020-05-19,30
2020-05-20,62
2020-05-21,69
2020-05-22,39
2020-05-23,31
2020-05-24,41
2020-05-25,57
2020-05-26,30
2020-05-27,0
2020-05-28,50
2020-05-29,63
2020-05-30,52
2020-05-31,87
