date,/m/03k3r
2020-02-01,69
2020-02-02,64
2020-02-03,49
2020-02-04,57
2020-02-05,56
2020-02-06,65
2020-02-07,49
2020-02-08,63
2020-02-09,55
2020-02-10,48
2020-02-11,59
2020-02-12,49
2020-02-13,54
2020-02-14,49
2020-02-15,68
2020-02-16,69
2020-02-17,75
2020-02-18,49
2020-02-19,63
2020-02-20,63
2020-02-21,58
2020-02-22,49
2020-02-23,79
2020-02-24,100
2020-02-25,55
2020-02-26,36
2020-02-27,69
2020-02-28,80
2020-02-29,83
2020-03-01,67
2020-03-02,52
2020-03-03,61
2020-03-04,60
2020-03-05,60
2020-03-06,82
2020-03-07,57
2020-03-08,74
2020-03-09,54
2020-03-10,44
2020-03-11,37
2020-03-12,34
2020-03-13,32
2020-03-14,61
2020-03-15,61
2020-03-16,34
2020-03-17,30
2020-03-18,47
2020-03-19,50
2020-03-20,55
2020-03-21,67
2020-03-22,60
2020-03-23,64
2020-03-24,58
2020-03-25,47
2020-03-26,71
2020-03-27,56
2020-03-28,58
2020-03-29,51
2020-03-30,67
2020-03-31,59
2020-04-01,67
2020-04-02,61
2020-04-03,49
2020-04-04,61
2020-04-05,71
2020-04-06,68
2020-04-07,57
2020-04-08,64
2020-04-09,63
2020-04-10,64
2020-04-11,67
2020-04-12,66
2020-04-13,75
2020-04-14,47
2020-04-15,47
2020-04-16,55
2020-04-17,58
2020-04-18,77
2020-04-19,82
2020-04-20,86
2020-04-21,68
2020-04-22,74
2020-04-23,73
2020-04-24,83
2020-04-25,88
2020-04-26,80
2020-04-27,79
2020-04-28,55
2020-04-29,79
2020-04-30,59
2020-05-01,74
2020-05-02,62
2020-05-03,76
2020-05-04,52
2020-05-05,79
2020-05-06,69
2020-05-07,60
2020-05-08,70
2020-05-09,65
2020-05-10,76
2020-05-11,55
2020-05-12,50
2020-05-13,50
2020-05-14,77
2020-05-15,67
2020-05-16,76
2020-05-17,83
2020-05-18,70
2020-05-19,62
2020-05-20,50
2020-05-21,73
2020-05-22,81
2020-05-23,84
2020-05-24,83
2020-05-25,63
2020-05-26,54
2020-05-27,74
2020-05-28,64
2020-05-29,59
2020-05-30,75
2020-05-31,64
