date,/m/06p_bp
2020-02-01,39
2020-02-02,37
2020-02-03,0
2020-02-04,37
2020-02-05,37
2020-02-06,0
2020-02-07,0
2020-02-08,40
2020-02-09,35
2020-02-10,35
2020-02-11,0
2020-02-12,36
2020-02-13,0
2020-02-14,39
2020-02-15,39
2020-02-16,72
2020-02-17,0
2020-02-18,37
2020-02-19,0
2020-02-20,38
2020-02-21,0
2020-02-22,0
2020-02-23,56
2020-02-24,0
2020-02-25,35
2020-02-26,34
2020-02-27,35
2020-02-28,37
2020-02-29,0
2020-03-01,0
2020-03-02,34
2020-03-03,72
2020-03-04,0
2020-03-05,0
2020-03-06,55
2020-03-07,39
2020-03-08,36
2020-03-09,52
2020-03-10,35
2020-03-11,35
2020-03-12,51
2020-03-13,36
2020-03-14,75
2020-03-15,50
2020-03-16,87
2020-03-17,50
2020-03-18,34
2020-03-19,67
2020-03-20,64
2020-03-21,36
2020-03-22,36
2020-03-23,45
2020-03-24,54
2020-03-25,100
2020-03-26,33
2020-03-27,30
2020-03-28,53
2020-03-29,50
2020-03-30,61
2020-03-31,31
2020-04-01,31
2020-04-02,0
2020-04-03,31
2020-04-04,37
2020-04-05,0
2020-04-06,31
2020-04-07,32
2020-04-08,33
2020-04-09,33
2020-04-10,0
2020-04-11,0
2020-04-12,36
2020-04-13,0
2020-04-14,0
2020-04-15,43
2020-04-16,33
2020-04-17,0
2020-04-18,32
2020-04-19,0
2020-04-20,31
2020-04-21,32
2020-04-22,33
2020-04-23,0
2020-04-24,32
2020-04-25,0
2020-04-26,37
2020-04-27,64
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,31
2020-05-02,64
2020-05-03,33
2020-05-04,0
2020-05-05,0
2020-05-06,31
2020-05-07,0
2020-05-08,33
2020-05-09,36
2020-05-10,0
2020-05-11,0
2020-05-12,31
2020-05-13,31
2020-05-14,31
2020-05-15,33
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,37
2020-05-22,0
2020-05-23,65
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,32
2020-05-28,48
2020-05-29,50
2020-05-30,36
2020-05-31,50
