date,/m/0b9c0
2020-02-01,26
2020-02-02,15
2020-02-03,9
2020-02-04,18
2020-02-05,19
2020-02-06,13
2020-02-07,12
2020-02-08,15
2020-02-09,23
2020-02-10,17
2020-02-11,23
2020-02-12,23
2020-02-13,18
2020-02-14,19
2020-02-15,25
2020-02-16,15
2020-02-17,9
2020-02-18,21
2020-02-19,21
2020-02-20,13
2020-02-21,15
2020-02-22,18
2020-02-23,17
2020-02-24,18
2020-02-25,21
2020-02-26,26
2020-02-27,23
2020-02-28,31
2020-02-29,43
2020-03-01,38
2020-03-02,100
2020-03-03,100
2020-03-04,72
2020-03-05,87
2020-03-06,65
2020-03-07,52
2020-03-08,31
2020-03-09,50
2020-03-10,52
2020-03-11,62
2020-03-12,76
2020-03-13,71
2020-03-14,50
2020-03-15,58
2020-03-16,86
2020-03-17,55
2020-03-18,49
2020-03-19,34
2020-03-20,47
2020-03-21,33
2020-03-22,31
2020-03-23,38
2020-03-24,42
2020-03-25,56
2020-03-26,35
2020-03-27,31
2020-03-28,28
2020-03-29,19
2020-03-30,34
2020-03-31,23
2020-04-01,28
2020-04-02,40
2020-04-03,17
2020-04-04,30
2020-04-05,20
2020-04-06,13
2020-04-07,12
2020-04-08,28
2020-04-09,25
2020-04-10,27
2020-04-11,32
2020-04-12,25
2020-04-13,20
2020-04-14,36
2020-04-15,28
2020-04-16,26
2020-04-17,18
2020-04-18,24
2020-04-19,27
2020-04-20,24
2020-04-21,26
2020-04-22,23
2020-04-23,33
2020-04-24,40
2020-04-25,18
2020-04-26,24
2020-04-27,31
2020-04-28,27
2020-04-29,29
2020-04-30,33
2020-05-01,18
2020-05-02,35
2020-05-03,32
2020-05-04,36
2020-05-05,36
2020-05-06,34
2020-05-07,38
2020-05-08,30
2020-05-09,22
2020-05-10,27
2020-05-11,35
2020-05-12,37
2020-05-13,36
2020-05-14,39
2020-05-15,42
2020-05-16,26
2020-05-17,29
2020-05-18,28
2020-05-19,27
2020-05-20,29
2020-05-21,19
2020-05-22,30
2020-05-23,22
2020-05-24,21
2020-05-25,26
2020-05-26,28
2020-05-27,19
2020-05-28,28
2020-05-29,30
2020-05-30,32
2020-05-31,13
