date,/m/057ph
2020-02-01,27
2020-02-02,39
2020-02-03,34
2020-02-04,29
2020-02-05,49
2020-02-06,34
2020-02-07,31
2020-02-08,42
2020-02-09,37
2020-02-10,19
2020-02-11,19
2020-02-12,32
2020-02-13,46
2020-02-14,31
2020-02-15,43
2020-02-16,38
2020-02-17,38
2020-02-18,19
2020-02-19,19
2020-02-20,40
2020-02-21,31
2020-02-22,32
2020-02-23,33
2020-02-24,47
2020-02-25,56
2020-02-26,48
2020-02-27,36
2020-02-28,20
2020-02-29,47
2020-03-01,67
2020-03-02,42
2020-03-03,38
2020-03-04,19
2020-03-05,48
2020-03-06,49
2020-03-07,52
2020-03-08,58
2020-03-09,28
2020-03-10,55
2020-03-11,64
2020-03-12,62
2020-03-13,19
2020-03-14,20
2020-03-15,20
2020-03-16,23
2020-03-17,35
2020-03-18,18
2020-03-19,35
2020-03-20,25
2020-03-21,32
2020-03-22,45
2020-03-23,37
2020-03-24,40
2020-03-25,26
2020-03-26,51
2020-03-27,32
2020-03-28,19
2020-03-29,0
2020-03-30,27
2020-03-31,38
2020-04-01,49
2020-04-02,48
2020-04-03,27
2020-04-04,58
2020-04-05,54
2020-04-06,33
2020-04-07,17
2020-04-08,17
2020-04-09,53
2020-04-10,47
2020-04-11,45
2020-04-12,19
2020-04-13,33
2020-04-14,38
2020-04-15,23
2020-04-16,52
2020-04-17,46
2020-04-18,73
2020-04-19,46
2020-04-20,32
2020-04-21,22
2020-04-22,41
2020-04-23,22
2020-04-24,22
2020-04-25,62
2020-04-26,49
2020-04-27,28
2020-04-28,36
2020-04-29,42
2020-04-30,56
2020-05-01,65
2020-05-02,100
2020-05-03,53
2020-05-04,46
2020-05-05,45
2020-05-06,44
2020-05-07,52
2020-05-08,23
2020-05-09,44
2020-05-10,26
2020-05-11,31
2020-05-12,41
2020-05-13,65
2020-05-14,55
2020-05-15,64
2020-05-16,19
2020-05-17,50
2020-05-18,22
2020-05-19,26
2020-05-20,44
2020-05-21,29
2020-05-22,17
2020-05-23,17
2020-05-24,35
2020-05-25,27
2020-05-26,23
2020-05-27,22
2020-05-28,34
2020-05-29,47
2020-05-30,19
2020-05-31,49
