date,/m/01byzl
2020-02-01,23
2020-02-02,21
2020-02-03,38
2020-02-04,22
2020-02-05,33
2020-02-06,0
2020-02-07,35
2020-02-08,24
2020-02-09,20
2020-02-10,41
2020-02-11,21
2020-02-12,21
2020-02-13,43
2020-02-14,22
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,21
2020-02-20,22
2020-02-21,23
2020-02-22,0
2020-02-23,22
2020-02-24,42
2020-02-25,21
2020-02-26,20
2020-02-27,61
2020-02-28,22
2020-02-29,44
2020-03-01,53
2020-03-02,33
2020-03-03,49
2020-03-04,35
2020-03-05,21
2020-03-06,36
2020-03-07,46
2020-03-08,28
2020-03-09,0
2020-03-10,50
2020-03-11,47
2020-03-12,53
2020-03-13,86
2020-03-14,51
2020-03-15,87
2020-03-16,57
2020-03-17,39
2020-03-18,100
2020-03-19,59
2020-03-20,31
2020-03-21,21
2020-03-22,71
2020-03-23,35
2020-03-24,25
2020-03-25,45
2020-03-26,32
2020-03-27,18
2020-03-28,31
2020-03-29,45
2020-03-30,36
2020-03-31,18
2020-04-01,18
2020-04-02,18
2020-04-03,27
2020-04-04,21
2020-04-05,22
2020-04-06,18
2020-04-07,29
2020-04-08,19
2020-04-09,19
2020-04-10,20
2020-04-11,21
2020-04-12,21
2020-04-13,0
2020-04-14,18
2020-04-15,18
2020-04-16,19
2020-04-17,19
2020-04-18,38
2020-04-19,0
2020-04-20,45
2020-04-21,19
2020-04-22,19
2020-04-23,31
2020-04-24,0
2020-04-25,21
2020-04-26,43
2020-04-27,19
2020-04-28,26
2020-04-29,18
2020-04-30,51
2020-05-01,18
2020-05-02,0
2020-05-03,29
2020-05-04,0
2020-05-05,0
2020-05-06,18
2020-05-07,0
2020-05-08,19
2020-05-09,0
2020-05-10,0
2020-05-11,17
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,19
2020-05-16,21
2020-05-17,22
2020-05-18,19
2020-05-19,19
2020-05-20,19
2020-05-21,0
2020-05-22,18
2020-05-23,0
2020-05-24,0
2020-05-25,18
2020-05-26,0
2020-05-27,19
2020-05-28,19
2020-05-29,19
2020-05-30,21
2020-05-31,22
