date,/m/02sg06
2020-02-01,73
2020-02-02,52
2020-02-03,46
2020-02-04,52
2020-02-05,53
2020-02-06,36
2020-02-07,57
2020-02-08,42
2020-02-09,49
2020-02-10,38
2020-02-11,34
2020-02-12,64
2020-02-13,26
2020-02-14,55
2020-02-15,29
2020-02-16,59
2020-02-17,64
2020-02-18,94
2020-02-19,77
2020-02-20,39
2020-02-21,46
2020-02-22,38
2020-02-23,53
2020-02-24,50
2020-02-25,63
2020-02-26,48
2020-02-27,24
2020-02-28,53
2020-02-29,40
2020-03-01,64
2020-03-02,41
2020-03-03,43
2020-03-04,76
2020-03-05,78
2020-03-06,26
2020-03-07,42
2020-03-08,39
2020-03-09,37
2020-03-10,81
2020-03-11,57
2020-03-12,56
2020-03-13,95
2020-03-14,44
2020-03-15,79
2020-03-16,62
2020-03-17,72
2020-03-18,48
2020-03-19,55
2020-03-20,68
2020-03-21,42
2020-03-22,86
2020-03-23,50
2020-03-24,77
2020-03-25,70
2020-03-26,62
2020-03-27,86
2020-03-28,63
2020-03-29,71
2020-03-30,64
2020-03-31,86
2020-04-01,59
2020-04-02,57
2020-04-03,51
2020-04-04,77
2020-04-05,27
2020-04-06,73
2020-04-07,23
2020-04-08,23
2020-04-09,62
2020-04-10,63
2020-04-11,65
2020-04-12,34
2020-04-13,33
2020-04-14,58
2020-04-15,45
2020-04-16,31
2020-04-17,39
2020-04-18,61
2020-04-19,46
2020-04-20,65
2020-04-21,75
2020-04-22,82
2020-04-23,45
2020-04-24,89
2020-04-25,100
2020-04-26,35
2020-04-27,82
2020-04-28,49
2020-04-29,57
2020-04-30,61
2020-05-01,73
2020-05-02,22
2020-05-03,71
2020-05-04,51
2020-05-05,67
2020-05-06,44
2020-05-07,93
2020-05-08,78
2020-05-09,76
2020-05-10,72
2020-05-11,55
2020-05-12,80
2020-05-13,58
2020-05-14,59
2020-05-15,35
2020-05-16,94
2020-05-17,62
2020-05-18,38
2020-05-19,76
2020-05-20,47
2020-05-21,39
2020-05-22,89
2020-05-23,86
2020-05-24,47
2020-05-25,54
2020-05-26,57
2020-05-27,38
2020-05-28,83
2020-05-29,55
2020-05-30,60
2020-05-31,61
