date,/m/0gxbfm
2020-02-01,0
2020-02-02,74
2020-02-03,32
2020-02-04,36
2020-02-05,37
2020-02-06,0
2020-02-07,40
2020-02-08,40
2020-02-09,0
2020-02-10,35
2020-02-11,54
2020-02-12,36
2020-02-13,37
2020-02-14,38
2020-02-15,61
2020-02-16,36
2020-02-17,36
2020-02-18,54
2020-02-19,48
2020-02-20,50
2020-02-21,39
2020-02-22,0
2020-02-23,37
2020-02-24,71
2020-02-25,36
2020-02-26,34
2020-02-27,34
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,34
2020-03-03,36
2020-03-04,0
2020-03-05,55
2020-03-06,49
2020-03-07,39
2020-03-08,36
2020-03-09,35
2020-03-10,35
2020-03-11,34
2020-03-12,34
2020-03-13,55
2020-03-14,0
2020-03-15,37
2020-03-16,33
2020-03-17,33
2020-03-18,0
2020-03-19,33
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,30
2020-03-24,0
2020-03-25,33
2020-03-26,65
2020-03-27,30
2020-03-28,52
2020-03-29,0
2020-03-30,45
2020-03-31,30
2020-04-01,31
2020-04-02,30
2020-04-03,31
2020-04-04,0
2020-04-05,57
2020-04-06,62
2020-04-07,0
2020-04-08,0
2020-04-09,100
2020-04-10,44
2020-04-11,37
2020-04-12,0
2020-04-13,31
2020-04-14,61
2020-04-15,32
2020-04-16,33
2020-04-17,49
2020-04-18,96
2020-04-19,33
2020-04-20,30
2020-04-21,32
2020-04-22,33
2020-04-23,53
2020-04-24,31
2020-04-25,0
2020-04-26,73
2020-04-27,32
2020-04-28,0
2020-04-29,30
2020-04-30,29
2020-05-01,31
2020-05-02,79
2020-05-03,33
2020-05-04,29
2020-05-05,43
2020-05-06,47
2020-05-07,33
2020-05-08,33
2020-05-09,36
2020-05-10,33
2020-05-11,57
2020-05-12,0
2020-05-13,0
2020-05-14,31
2020-05-15,66
2020-05-16,36
2020-05-17,75
2020-05-18,79
2020-05-19,64
2020-05-20,33
2020-05-21,49
2020-05-22,0
2020-05-23,33
2020-05-24,32
2020-05-25,31
2020-05-26,32
2020-05-27,32
2020-05-28,32
2020-05-29,33
2020-05-30,73
2020-05-31,37
