date,/m/0dzct
2020-02-01,40
2020-02-02,61
2020-02-03,56
2020-02-04,44
2020-02-05,47
2020-02-06,49
2020-02-07,41
2020-02-08,66
2020-02-09,45
2020-02-10,54
2020-02-11,37
2020-02-12,47
2020-02-13,32
2020-02-14,38
2020-02-15,37
2020-02-16,59
2020-02-17,37
2020-02-18,45
2020-02-19,60
2020-02-20,51
2020-02-21,56
2020-02-22,34
2020-02-23,75
2020-02-24,42
2020-02-25,49
2020-02-26,51
2020-02-27,41
2020-02-28,40
2020-02-29,67
2020-03-01,64
2020-03-02,37
2020-03-03,53
2020-03-04,59
2020-03-05,39
2020-03-06,29
2020-03-07,45
2020-03-08,79
2020-03-09,44
2020-03-10,25
2020-03-11,45
2020-03-12,46
2020-03-13,40
2020-03-14,62
2020-03-15,61
2020-03-16,37
2020-03-17,80
2020-03-18,74
2020-03-19,78
2020-03-20,70
2020-03-21,79
2020-03-22,79
2020-03-23,70
2020-03-24,67
2020-03-25,47
2020-03-26,43
2020-03-27,41
2020-03-28,76
2020-03-29,70
2020-03-30,46
2020-03-31,95
2020-04-01,80
2020-04-02,59
2020-04-03,81
2020-04-04,95
2020-04-05,87
2020-04-06,88
2020-04-07,55
2020-04-08,86
2020-04-09,75
2020-04-10,51
2020-04-11,54
2020-04-12,78
2020-04-13,100
2020-04-14,68
2020-04-15,40
2020-04-16,82
2020-04-17,62
2020-04-18,71
2020-04-19,67
2020-04-20,85
2020-04-21,54
2020-04-22,58
2020-04-23,60
2020-04-24,57
2020-04-25,66
2020-04-26,63
2020-04-27,61
2020-04-28,68
2020-04-29,55
2020-04-30,79
2020-05-01,53
2020-05-02,83
2020-05-03,63
2020-05-04,67
2020-05-05,63
2020-05-06,56
2020-05-07,60
2020-05-08,66
2020-05-09,53
2020-05-10,42
2020-05-11,51
2020-05-12,35
2020-05-13,72
2020-05-14,54
2020-05-15,64
2020-05-16,56
2020-05-17,62
2020-05-18,56
2020-05-19,53
2020-05-20,55
2020-05-21,52
2020-05-22,48
2020-05-23,60
2020-05-24,66
2020-05-25,51
2020-05-26,59
2020-05-27,67
2020-05-28,67
2020-05-29,59
2020-05-30,56
2020-05-31,55
