date,/m/0f3kl
2020-02-01,55
2020-02-02,59
2020-02-03,53
2020-02-04,34
2020-02-05,79
2020-02-06,94
2020-02-07,24
2020-02-08,72
2020-02-09,56
2020-02-10,85
2020-02-11,51
2020-02-12,55
2020-02-13,22
2020-02-14,63
2020-02-15,36
2020-02-16,66
2020-02-17,58
2020-02-18,58
2020-02-19,55
2020-02-20,34
2020-02-21,31
2020-02-22,97
2020-02-23,46
2020-02-24,54
2020-02-25,22
2020-02-26,76
2020-02-27,49
2020-02-28,79
2020-02-29,35
2020-03-01,51
2020-03-02,49
2020-03-03,80
2020-03-04,80
2020-03-05,44
2020-03-06,59
2020-03-07,48
2020-03-08,33
2020-03-09,71
2020-03-10,62
2020-03-11,62
2020-03-12,48
2020-03-13,74
2020-03-14,23
2020-03-15,56
2020-03-16,66
2020-03-17,68
2020-03-18,83
2020-03-19,61
2020-03-20,58
2020-03-21,65
2020-03-22,73
2020-03-23,73
2020-03-24,59
2020-03-25,67
2020-03-26,59
2020-03-27,79
2020-03-28,100
2020-03-29,53
2020-03-30,43
2020-03-31,43
2020-04-01,75
2020-04-02,55
2020-04-03,74
2020-04-04,66
2020-04-05,100
2020-04-06,94
2020-04-07,39
2020-04-08,20
2020-04-09,47
2020-04-10,34
2020-04-11,52
2020-04-12,43
2020-04-13,44
2020-04-14,62
2020-04-15,45
2020-04-16,33
2020-04-17,53
2020-04-18,65
2020-04-19,46
2020-04-20,62
2020-04-21,45
2020-04-22,50
2020-04-23,39
2020-04-24,64
2020-04-25,28
2020-04-26,45
2020-04-27,58
2020-04-28,47
2020-04-29,48
2020-04-30,44
2020-05-01,37
2020-05-02,51
2020-05-03,54
2020-05-04,41
2020-05-05,52
2020-05-06,57
2020-05-07,60
2020-05-08,20
2020-05-09,50
2020-05-10,61
2020-05-11,47
2020-05-12,62
2020-05-13,62
2020-05-14,57
2020-05-15,60
2020-05-16,73
2020-05-17,53
2020-05-18,45
2020-05-19,33
2020-05-20,80
2020-05-21,55
2020-05-22,38
2020-05-23,60
2020-05-24,54
2020-05-25,50
2020-05-26,65
2020-05-27,38
2020-05-28,45
2020-05-29,54
2020-05-30,22
2020-05-31,67
