date,/m/0288fz6
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,32
2020-02-07,0
2020-02-08,33
2020-02-09,29
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,34
2020-02-16,0
2020-02-17,0
2020-02-18,30
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,34
2020-02-23,0
2020-02-24,30
2020-02-25,60
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,57
2020-03-03,30
2020-03-04,0
2020-03-05,31
2020-03-06,51
2020-03-07,49
2020-03-08,31
2020-03-09,29
2020-03-10,0
2020-03-11,43
2020-03-12,47
2020-03-13,61
2020-03-14,94
2020-03-15,62
2020-03-16,100
2020-03-17,65
2020-03-18,95
2020-03-19,75
2020-03-20,66
2020-03-21,60
2020-03-22,91
2020-03-23,38
2020-03-24,54
2020-03-25,55
2020-03-26,41
2020-03-27,63
2020-03-28,0
2020-03-29,28
2020-03-30,25
2020-03-31,26
2020-04-01,26
2020-04-02,51
2020-04-03,39
2020-04-04,30
2020-04-05,0
2020-04-06,26
2020-04-07,27
2020-04-08,27
2020-04-09,28
2020-04-10,0
2020-04-11,31
2020-04-12,0
2020-04-13,26
2020-04-14,38
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,27
2020-04-20,25
2020-04-21,0
2020-04-22,0
2020-04-23,27
2020-04-24,40
2020-04-25,29
2020-04-26,31
2020-04-27,27
2020-04-28,0
2020-04-29,25
2020-04-30,24
2020-05-01,0
2020-05-02,27
2020-05-03,0
2020-05-04,0
2020-05-05,36
2020-05-06,0
2020-05-07,0
2020-05-08,28
2020-05-09,0
2020-05-10,28
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,27
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,28
2020-05-24,0
2020-05-25,25
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,28
2020-05-30,0
2020-05-31,0
