date,/m/017q2
2020-02-01,22
2020-02-02,31
2020-02-03,31
2020-02-04,69
2020-02-05,42
2020-02-06,44
2020-02-07,56
2020-02-08,45
2020-02-09,29
2020-02-10,40
2020-02-11,82
2020-02-12,20
2020-02-13,21
2020-02-14,66
2020-02-15,0
2020-02-16,40
2020-02-17,34
2020-02-18,41
2020-02-19,48
2020-02-20,42
2020-02-21,22
2020-02-22,34
2020-02-23,42
2020-02-24,33
2020-02-25,47
2020-02-26,19
2020-02-27,26
2020-02-28,53
2020-02-29,36
2020-03-01,27
2020-03-02,39
2020-03-03,30
2020-03-04,50
2020-03-05,34
2020-03-06,35
2020-03-07,44
2020-03-08,48
2020-03-09,30
2020-03-10,52
2020-03-11,39
2020-03-12,44
2020-03-13,52
2020-03-14,63
2020-03-15,56
2020-03-16,31
2020-03-17,19
2020-03-18,19
2020-03-19,44
2020-03-20,53
2020-03-21,34
2020-03-22,68
2020-03-23,34
2020-03-24,64
2020-03-25,46
2020-03-26,27
2020-03-27,26
2020-03-28,30
2020-03-29,25
2020-03-30,17
2020-03-31,26
2020-04-01,23
2020-04-02,23
2020-04-03,35
2020-04-04,41
2020-04-05,21
2020-04-06,26
2020-04-07,18
2020-04-08,37
2020-04-09,19
2020-04-10,19
2020-04-11,52
2020-04-12,100
2020-04-13,18
2020-04-14,17
2020-04-15,36
2020-04-16,28
2020-04-17,18
2020-04-18,36
2020-04-19,28
2020-04-20,43
2020-04-21,48
2020-04-22,50
2020-04-23,27
2020-04-24,24
2020-04-25,60
2020-04-26,21
2020-04-27,18
2020-04-28,39
2020-04-29,45
2020-04-30,16
2020-05-01,35
2020-05-02,62
2020-05-03,25
2020-05-04,40
2020-05-05,32
2020-05-06,41
2020-05-07,49
2020-05-08,28
2020-05-09,40
2020-05-10,31
2020-05-11,33
2020-05-12,35
2020-05-13,29
2020-05-14,18
2020-05-15,28
2020-05-16,27
2020-05-17,21
2020-05-18,18
2020-05-19,36
2020-05-20,19
2020-05-21,21
2020-05-22,47
2020-05-23,68
2020-05-24,37
2020-05-25,58
2020-05-26,30
2020-05-27,24
2020-05-28,45
2020-05-29,28
2020-05-30,27
2020-05-31,63
