date,/m/0b7z1
2020-02-01,35
2020-02-02,66
2020-02-03,0
2020-02-04,0
2020-02-05,68
2020-02-06,35
2020-02-07,36
2020-02-08,36
2020-02-09,31
2020-02-10,32
2020-02-11,98
2020-02-12,33
2020-02-13,34
2020-02-14,35
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,32
2020-02-19,33
2020-02-20,0
2020-02-21,35
2020-02-22,0
2020-02-23,0
2020-02-24,32
2020-02-25,0
2020-02-26,31
2020-02-27,0
2020-02-28,34
2020-02-29,70
2020-03-01,33
2020-03-02,31
2020-03-03,33
2020-03-04,0
2020-03-05,33
2020-03-06,67
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,30
2020-03-11,31
2020-03-12,31
2020-03-13,33
2020-03-14,0
2020-03-15,0
2020-03-16,30
2020-03-17,30
2020-03-18,31
2020-03-19,30
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,30
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,30
2020-03-30,41
2020-03-31,28
2020-04-01,28
2020-04-02,27
2020-04-03,0
2020-04-04,0
2020-04-05,34
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,30
2020-04-10,60
2020-04-11,0
2020-04-12,0
2020-04-13,29
2020-04-14,42
2020-04-15,29
2020-04-16,30
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,28
2020-04-21,29
2020-04-22,60
2020-04-23,57
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,53
2020-04-29,28
2020-04-30,26
2020-05-01,42
2020-05-02,0
2020-05-03,31
2020-05-04,26
2020-05-05,52
2020-05-06,29
2020-05-07,30
2020-05-08,30
2020-05-09,0
2020-05-10,31
2020-05-11,39
2020-05-12,0
2020-05-13,28
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,34
2020-05-18,29
2020-05-19,0
2020-05-20,30
2020-05-21,66
2020-05-22,57
2020-05-23,0
2020-05-24,30
2020-05-25,55
2020-05-26,29
2020-05-27,0
2020-05-28,29
2020-05-29,30
2020-05-30,0
2020-05-31,100
