date,/m/01np1l
2020-02-01,32
2020-02-02,37
2020-02-03,21
2020-02-04,23
2020-02-05,20
2020-02-06,25
2020-02-07,29
2020-02-08,25
2020-02-09,19
2020-02-10,26
2020-02-11,35
2020-02-12,20
2020-02-13,20
2020-02-14,14
2020-02-15,22
2020-02-16,15
2020-02-17,13
2020-02-18,15
2020-02-19,26
2020-02-20,36
2020-02-21,11
2020-02-22,28
2020-02-23,24
2020-02-24,16
2020-02-25,36
2020-02-26,14
2020-02-27,24
2020-02-28,15
2020-02-29,16
2020-03-01,20
2020-03-02,24
2020-03-03,15
2020-03-04,36
2020-03-05,30
2020-03-06,20
2020-03-07,18
2020-03-08,26
2020-03-09,22
2020-03-10,28
2020-03-11,28
2020-03-12,23
2020-03-13,10
2020-03-14,20
2020-03-15,27
2020-03-16,18
2020-03-17,9
2020-03-18,16
2020-03-19,21
2020-03-20,35
2020-03-21,42
2020-03-22,27
2020-03-23,22
2020-03-24,24
2020-03-25,33
2020-03-26,27
2020-03-27,36
2020-03-28,35
2020-03-29,54
2020-03-30,39
2020-03-31,36
2020-04-01,48
2020-04-02,36
2020-04-03,20
2020-04-04,33
2020-04-05,31
2020-04-06,42
2020-04-07,41
2020-04-08,39
2020-04-09,84
2020-04-10,55
2020-04-11,57
2020-04-12,59
2020-04-13,100
2020-04-14,92
2020-04-15,99
2020-04-16,84
2020-04-17,51
2020-04-18,91
2020-04-19,92
2020-04-20,67
2020-04-21,41
2020-04-22,36
2020-04-23,29
2020-04-24,40
2020-04-25,35
2020-04-26,67
2020-04-27,29
2020-04-28,40
2020-04-29,44
2020-04-30,24
2020-05-01,50
2020-05-02,29
2020-05-03,49
2020-05-04,32
2020-05-05,18
2020-05-06,29
2020-05-07,30
2020-05-08,21
2020-05-09,39
2020-05-10,40
2020-05-11,26
2020-05-12,17
2020-05-13,8
2020-05-14,20
2020-05-15,21
2020-05-16,45
2020-05-17,21
2020-05-18,17
2020-05-19,12
2020-05-20,27
2020-05-21,30
2020-05-22,20
2020-05-23,27
2020-05-24,30
2020-05-25,17
2020-05-26,32
2020-05-27,20
2020-05-28,17
2020-05-29,0
2020-05-30,15
2020-05-31,10
