date,/m/04sg5
2020-02-01,27
2020-02-02,15
2020-02-03,27
2020-02-04,25
2020-02-05,15
2020-02-06,0
2020-02-07,16
2020-02-08,38
2020-02-09,29
2020-02-10,22
2020-02-11,35
2020-02-12,20
2020-02-13,15
2020-02-14,16
2020-02-15,16
2020-02-16,45
2020-02-17,20
2020-02-18,30
2020-02-19,15
2020-02-20,16
2020-02-21,16
2020-02-22,17
2020-02-23,16
2020-02-24,25
2020-02-25,15
2020-02-26,14
2020-02-27,29
2020-02-28,16
2020-02-29,24
2020-03-01,23
2020-03-02,43
2020-03-03,30
2020-03-04,30
2020-03-05,30
2020-03-06,23
2020-03-07,16
2020-03-08,15
2020-03-09,22
2020-03-10,24
2020-03-11,28
2020-03-12,14
2020-03-13,23
2020-03-14,16
2020-03-15,23
2020-03-16,27
2020-03-17,21
2020-03-18,14
2020-03-19,28
2020-03-20,59
2020-03-21,29
2020-03-22,25
2020-03-23,12
2020-03-24,34
2020-03-25,14
2020-03-26,27
2020-03-27,12
2020-03-28,22
2020-03-29,14
2020-03-30,25
2020-03-31,19
2020-04-01,13
2020-04-02,31
2020-04-03,25
2020-04-04,45
2020-04-05,21
2020-04-06,30
2020-04-07,27
2020-04-08,27
2020-04-09,41
2020-04-10,37
2020-04-11,35
2020-04-12,65
2020-04-13,30
2020-04-14,57
2020-04-15,18
2020-04-16,50
2020-04-17,34
2020-04-18,31
2020-04-19,88
2020-04-20,51
2020-04-21,35
2020-04-22,23
2020-04-23,53
2020-04-24,100
2020-04-25,63
2020-04-26,41
2020-04-27,53
2020-04-28,28
2020-04-29,50
2020-04-30,28
2020-05-01,55
2020-05-02,48
2020-05-03,37
2020-05-04,28
2020-05-05,28
2020-05-06,48
2020-05-07,32
2020-05-08,45
2020-05-09,64
2020-05-10,46
2020-05-11,24
2020-05-12,59
2020-05-13,34
2020-05-14,20
2020-05-15,14
2020-05-16,40
2020-05-17,85
2020-05-18,44
2020-05-19,54
2020-05-20,27
2020-05-21,81
2020-05-22,39
2020-05-23,68
2020-05-24,59
2020-05-25,34
2020-05-26,58
2020-05-27,48
2020-05-28,44
2020-05-29,23
2020-05-30,96
2020-05-31,97
