date,/m/096mb
2020-02-01,17
2020-02-02,27
2020-02-03,48
2020-02-04,11
2020-02-05,27
2020-02-06,29
2020-02-07,36
2020-02-08,41
2020-02-09,51
2020-02-10,68
2020-02-11,27
2020-02-12,32
2020-02-13,49
2020-02-14,40
2020-02-15,30
2020-02-16,26
2020-02-17,32
2020-02-18,27
2020-02-19,43
2020-02-20,49
2020-02-21,17
2020-02-22,72
2020-02-23,100
2020-02-24,63
2020-02-25,26
2020-02-26,35
2020-02-27,20
2020-02-28,38
2020-02-29,45
2020-03-01,64
2020-03-02,25
2020-03-03,32
2020-03-04,42
2020-03-05,16
2020-03-06,38
2020-03-07,35
2020-03-08,64
2020-03-09,26
2020-03-10,60
2020-03-11,20
2020-03-12,10
2020-03-13,38
2020-03-14,33
2020-03-15,38
2020-03-16,24
2020-03-17,20
2020-03-18,20
2020-03-19,30
2020-03-20,42
2020-03-21,21
2020-03-22,75
2020-03-23,49
2020-03-24,43
2020-03-25,48
2020-03-26,24
2020-03-27,71
2020-03-28,31
2020-03-29,44
2020-03-30,49
2020-03-31,22
2020-04-01,41
2020-04-02,40
2020-04-03,36
2020-04-04,48
2020-04-05,73
2020-04-06,27
2020-04-07,9
2020-04-08,19
2020-04-09,15
2020-04-10,29
2020-04-11,49
2020-04-12,48
2020-04-13,28
2020-04-14,18
2020-04-15,38
2020-04-16,34
2020-04-17,34
2020-04-18,19
2020-04-19,44
2020-04-20,67
2020-04-21,9
2020-04-22,10
2020-04-23,42
2020-04-24,23
2020-04-25,36
2020-04-26,43
2020-04-27,33
2020-04-28,43
2020-04-29,27
2020-04-30,51
2020-05-01,27
2020-05-02,23
2020-05-03,20
2020-05-04,26
2020-05-05,21
2020-05-06,32
2020-05-07,39
2020-05-08,34
2020-05-09,26
2020-05-10,35
2020-05-11,30
2020-05-12,9
2020-05-13,27
2020-05-14,28
2020-05-15,15
2020-05-16,43
2020-05-17,44
2020-05-18,33
2020-05-19,24
2020-05-20,10
2020-05-21,49
2020-05-22,9
2020-05-23,39
2020-05-24,44
2020-05-25,41
2020-05-26,19
2020-05-27,19
2020-05-28,42
2020-05-29,29
2020-05-30,38
2020-05-31,33
