date,/g/1226g599
2020-02-01,54
2020-02-02,0
2020-02-03,45
2020-02-04,51
2020-02-05,52
2020-02-06,80
2020-02-07,0
2020-02-08,55
2020-02-09,48
2020-02-10,49
2020-02-11,51
2020-02-12,50
2020-02-13,85
2020-02-14,55
2020-02-15,0
2020-02-16,50
2020-02-17,0
2020-02-18,50
2020-02-19,51
2020-02-20,0
2020-02-21,54
2020-02-22,0
2020-02-23,0
2020-02-24,99
2020-02-25,49
2020-02-26,47
2020-02-27,0
2020-02-28,51
2020-02-29,0
2020-03-01,50
2020-03-02,96
2020-03-03,0
2020-03-04,50
2020-03-05,0
2020-03-06,51
2020-03-07,0
2020-03-08,50
2020-03-09,48
2020-03-10,71
2020-03-11,96
2020-03-12,0
2020-03-13,0
2020-03-14,52
2020-03-15,0
2020-03-16,45
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,44
2020-03-21,50
2020-03-22,50
2020-03-23,84
2020-03-24,45
2020-03-25,92
2020-03-26,45
2020-03-27,42
2020-03-28,49
2020-03-29,61
2020-03-30,42
2020-03-31,43
2020-04-01,0
2020-04-02,42
2020-04-03,43
2020-04-04,50
2020-04-05,53
2020-04-06,44
2020-04-07,45
2020-04-08,91
2020-04-09,47
2020-04-10,0
2020-04-11,76
2020-04-12,0
2020-04-13,66
2020-04-14,43
2020-04-15,45
2020-04-16,46
2020-04-17,46
2020-04-18,67
2020-04-19,90
2020-04-20,63
2020-04-21,66
2020-04-22,46
2020-04-23,44
2020-04-24,44
2020-04-25,98
2020-04-26,51
2020-04-27,44
2020-04-28,40
2020-04-29,42
2020-04-30,40
2020-05-01,85
2020-05-02,44
2020-05-03,92
2020-05-04,100
2020-05-05,39
2020-05-06,66
2020-05-07,91
2020-05-08,45
2020-05-09,99
2020-05-10,47
2020-05-11,60
2020-05-12,57
2020-05-13,43
2020-05-14,43
2020-05-15,68
2020-05-16,50
2020-05-17,52
2020-05-18,67
2020-05-19,45
2020-05-20,46
2020-05-21,0
2020-05-22,44
2020-05-23,69
2020-05-24,46
2020-05-25,42
2020-05-26,67
2020-05-27,0
2020-05-28,44
2020-05-29,46
2020-05-30,51
2020-05-31,69
