date,/m/025t6vc
2020-02-01,47
2020-02-02,0
2020-02-03,39
2020-02-04,45
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,42
2020-02-10,0
2020-02-11,44
2020-02-12,44
2020-02-13,0
2020-02-14,47
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,43
2020-02-19,0
2020-02-20,68
2020-02-21,0
2020-02-22,73
2020-02-23,45
2020-02-24,0
2020-02-25,0
2020-02-26,82
2020-02-27,42
2020-02-28,45
2020-02-29,0
2020-03-01,0
2020-03-02,62
2020-03-03,87
2020-03-04,44
2020-03-05,45
2020-03-06,88
2020-03-07,0
2020-03-08,65
2020-03-09,42
2020-03-10,0
2020-03-11,41
2020-03-12,68
2020-03-13,44
2020-03-14,45
2020-03-15,45
2020-03-16,39
2020-03-17,81
2020-03-18,0
2020-03-19,0
2020-03-20,58
2020-03-21,87
2020-03-22,58
2020-03-23,36
2020-03-24,0
2020-03-25,40
2020-03-26,78
2020-03-27,0
2020-03-28,43
2020-03-29,100
2020-03-30,37
2020-03-31,74
2020-04-01,37
2020-04-02,36
2020-04-03,37
2020-04-04,44
2020-04-05,46
2020-04-06,37
2020-04-07,78
2020-04-08,79
2020-04-09,60
2020-04-10,0
2020-04-11,0
2020-04-12,44
2020-04-13,38
2020-04-14,0
2020-04-15,76
2020-04-16,40
2020-04-17,79
2020-04-18,0
2020-04-19,59
2020-04-20,37
2020-04-21,0
2020-04-22,40
2020-04-23,39
2020-04-24,38
2020-04-25,0
2020-04-26,44
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,35
2020-05-01,37
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,38
2020-05-07,40
2020-05-08,40
2020-05-09,42
2020-05-10,80
2020-05-11,0
2020-05-12,0
2020-05-13,74
2020-05-14,38
2020-05-15,0
2020-05-16,44
2020-05-17,45
2020-05-18,39
2020-05-19,39
2020-05-20,40
2020-05-21,0
2020-05-22,38
2020-05-23,40
2020-05-24,41
2020-05-25,0
2020-05-26,39
2020-05-27,38
2020-05-28,0
2020-05-29,40
2020-05-30,44
2020-05-31,45
