date,/m/015p6
2020-02-01,42
2020-02-02,38
2020-02-03,36
2020-02-04,46
2020-02-05,37
2020-02-06,19
2020-02-07,31
2020-02-08,52
2020-02-09,30
2020-02-10,19
2020-02-11,28
2020-02-12,32
2020-02-13,30
2020-02-14,19
2020-02-15,46
2020-02-16,25
2020-02-17,24
2020-02-18,26
2020-02-19,26
2020-02-20,24
2020-02-21,28
2020-02-22,44
2020-02-23,27
2020-02-24,29
2020-02-25,27
2020-02-26,26
2020-02-27,28
2020-02-28,31
2020-02-29,44
2020-03-01,39
2020-03-02,23
2020-03-03,45
2020-03-04,35
2020-03-05,34
2020-03-06,36
2020-03-07,45
2020-03-08,50
2020-03-09,29
2020-03-10,32
2020-03-11,32
2020-03-12,24
2020-03-13,30
2020-03-14,35
2020-03-15,41
2020-03-16,20
2020-03-17,24
2020-03-18,32
2020-03-19,33
2020-03-20,52
2020-03-21,47
2020-03-22,42
2020-03-23,28
2020-03-24,44
2020-03-25,58
2020-03-26,30
2020-03-27,36
2020-03-28,48
2020-03-29,53
2020-03-30,28
2020-03-31,38
2020-04-01,44
2020-04-02,42
2020-04-03,47
2020-04-04,67
2020-04-05,100
2020-04-06,61
2020-04-07,56
2020-04-08,54
2020-04-09,34
2020-04-10,51
2020-04-11,58
2020-04-12,75
2020-04-13,68
2020-04-14,55
2020-04-15,51
2020-04-16,54
2020-04-17,68
2020-04-18,56
2020-04-19,61
2020-04-20,47
2020-04-21,47
2020-04-22,49
2020-04-23,54
2020-04-24,53
2020-04-25,62
2020-04-26,56
2020-04-27,54
2020-04-28,43
2020-04-29,34
2020-04-30,36
2020-05-01,52
2020-05-02,68
2020-05-03,51
2020-05-04,44
2020-05-05,51
2020-05-06,69
2020-05-07,50
2020-05-08,40
2020-05-09,93
2020-05-10,62
2020-05-11,32
2020-05-12,50
2020-05-13,42
2020-05-14,31
2020-05-15,48
2020-05-16,97
2020-05-17,72
2020-05-18,42
2020-05-19,46
2020-05-20,42
2020-05-21,82
2020-05-22,76
2020-05-23,50
2020-05-24,63
2020-05-25,42
2020-05-26,46
2020-05-27,57
2020-05-28,44
2020-05-29,53
2020-05-30,60
2020-05-31,77
