date,/m/0cm87qq
2020-02-01,18
2020-02-02,21
2020-02-03,15
2020-02-04,23
2020-02-05,13
2020-02-06,24
2020-02-07,20
2020-02-08,17
2020-02-09,24
2020-02-10,17
2020-02-11,17
2020-02-12,13
2020-02-13,20
2020-02-14,10
2020-02-15,19
2020-02-16,29
2020-02-17,21
2020-02-18,16
2020-02-19,14
2020-02-20,22
2020-02-21,11
2020-02-22,12
2020-02-23,18
2020-02-24,20
2020-02-25,22
2020-02-26,21
2020-02-27,12
2020-02-28,17
2020-02-29,23
2020-03-01,29
2020-03-02,20
2020-03-03,13
2020-03-04,12
2020-03-05,16
2020-03-06,12
2020-03-07,13
2020-03-08,22
2020-03-09,13
2020-03-10,10
2020-03-11,19
2020-03-12,15
2020-03-13,6
2020-03-14,13
2020-03-15,16
2020-03-16,29
2020-03-17,36
2020-03-18,23
2020-03-19,36
2020-03-20,31
2020-03-21,30
2020-03-22,35
2020-03-23,48
2020-03-24,40
2020-03-25,18
2020-03-26,28
2020-03-27,29
2020-03-28,27
2020-03-29,31
2020-03-30,21
2020-03-31,52
2020-04-01,43
2020-04-02,35
2020-04-03,49
2020-04-04,56
2020-04-05,41
2020-04-06,66
2020-04-07,75
2020-04-08,80
2020-04-09,66
2020-04-10,60
2020-04-11,77
2020-04-12,86
2020-04-13,100
2020-04-14,100
2020-04-15,74
2020-04-16,77
2020-04-17,69
2020-04-18,75
2020-04-19,70
2020-04-20,51
2020-04-21,61
2020-04-22,57
2020-04-23,43
2020-04-24,53
2020-04-25,52
2020-04-26,57
2020-04-27,59
2020-04-28,49
2020-04-29,52
2020-04-30,57
2020-05-01,62
2020-05-02,53
2020-05-03,60
2020-05-04,67
2020-05-05,64
2020-05-06,52
2020-05-07,46
2020-05-08,39
2020-05-09,45
2020-05-10,46
2020-05-11,44
2020-05-12,38
2020-05-13,42
2020-05-14,38
2020-05-15,43
2020-05-16,45
2020-05-17,35
2020-05-18,28
2020-05-19,32
2020-05-20,13
2020-05-21,21
2020-05-22,35
2020-05-23,33
2020-05-24,34
2020-05-25,30
2020-05-26,32
2020-05-27,30
2020-05-28,16
2020-05-29,22
2020-05-30,21
2020-05-31,30
