date,/m/0d3p4
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,38
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,38
2020-02-24,0
2020-02-25,0
2020-02-26,35
2020-02-27,47
2020-02-28,38
2020-02-29,38
2020-03-01,37
2020-03-02,35
2020-03-03,37
2020-03-04,73
2020-03-05,37
2020-03-06,0
2020-03-07,0
2020-03-08,37
2020-03-09,36
2020-03-10,71
2020-03-11,69
2020-03-12,46
2020-03-13,37
2020-03-14,38
2020-03-15,76
2020-03-16,100
2020-03-17,46
2020-03-18,52
2020-03-19,68
2020-03-20,49
2020-03-21,73
2020-03-22,37
2020-03-23,77
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,46
2020-03-28,72
2020-03-29,34
2020-03-30,0
2020-03-31,46
2020-04-01,0
2020-04-02,62
2020-04-03,32
2020-04-04,37
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,34
2020-04-11,0
2020-04-12,37
2020-04-13,0
2020-04-14,0
2020-04-15,49
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,31
2020-04-21,0
2020-04-22,34
2020-04-23,32
2020-04-24,32
2020-04-25,0
2020-04-26,0
2020-04-27,32
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,32
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,33
2020-05-08,34
2020-05-09,36
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,31
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,38
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,32
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,33
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
