date,/m/0j4mv
2020-02-01,53
2020-02-02,57
2020-02-03,58
2020-02-04,54
2020-02-05,64
2020-02-06,74
2020-02-07,69
2020-02-08,69
2020-02-09,43
2020-02-10,61
2020-02-11,49
2020-02-12,33
2020-02-13,48
2020-02-14,67
2020-02-15,55
2020-02-16,49
2020-02-17,73
2020-02-18,58
2020-02-19,56
2020-02-20,53
2020-02-21,72
2020-02-22,74
2020-02-23,65
2020-02-24,44
2020-02-25,44
2020-02-26,57
2020-02-27,64
2020-02-28,46
2020-02-29,77
2020-03-01,60
2020-03-02,57
2020-03-03,42
2020-03-04,44
2020-03-05,65
2020-03-06,61
2020-03-07,70
2020-03-08,58
2020-03-09,69
2020-03-10,51
2020-03-11,42
2020-03-12,60
2020-03-13,41
2020-03-14,46
2020-03-15,48
2020-03-16,54
2020-03-17,56
2020-03-18,61
2020-03-19,43
2020-03-20,74
2020-03-21,64
2020-03-22,74
2020-03-23,74
2020-03-24,64
2020-03-25,51
2020-03-26,72
2020-03-27,74
2020-03-28,72
2020-03-29,59
2020-03-30,60
2020-03-31,66
2020-04-01,57
2020-04-02,80
2020-04-03,57
2020-04-04,78
2020-04-05,59
2020-04-06,71
2020-04-07,62
2020-04-08,65
2020-04-09,69
2020-04-10,66
2020-04-11,72
2020-04-12,69
2020-04-13,68
2020-04-14,49
2020-04-15,49
2020-04-16,69
2020-04-17,70
2020-04-18,65
2020-04-19,69
2020-04-20,52
2020-04-21,49
2020-04-22,59
2020-04-23,59
2020-04-24,66
2020-04-25,100
2020-04-26,61
2020-04-27,59
2020-04-28,78
2020-04-29,57
2020-04-30,87
2020-05-01,64
2020-05-02,72
2020-05-03,45
2020-05-04,44
2020-05-05,49
2020-05-06,60
2020-05-07,75
2020-05-08,49
2020-05-09,61
2020-05-10,76
2020-05-11,59
2020-05-12,38
2020-05-13,65
2020-05-14,54
2020-05-15,57
2020-05-16,63
2020-05-17,46
2020-05-18,43
2020-05-19,44
2020-05-20,43
2020-05-21,59
2020-05-22,52
2020-05-23,67
2020-05-24,59
2020-05-25,47
2020-05-26,50
2020-05-27,61
2020-05-28,31
2020-05-29,55
2020-05-30,45
2020-05-31,75
