date,/m/0mb9x
2020-02-01,56
2020-02-02,64
2020-02-03,31
2020-02-04,61
2020-02-05,30
2020-02-06,18
2020-02-07,83
2020-02-08,51
2020-02-09,44
2020-02-10,45
2020-02-11,46
2020-02-12,40
2020-02-13,88
2020-02-14,37
2020-02-15,45
2020-02-16,74
2020-02-17,57
2020-02-18,43
2020-02-19,60
2020-02-20,53
2020-02-21,31
2020-02-22,51
2020-02-23,54
2020-02-24,28
2020-02-25,28
2020-02-26,54
2020-02-27,33
2020-02-28,71
2020-02-29,18
2020-03-01,40
2020-03-02,38
2020-03-03,43
2020-03-04,57
2020-03-05,46
2020-03-06,53
2020-03-07,100
2020-03-08,52
2020-03-09,61
2020-03-10,38
2020-03-11,44
2020-03-12,27
2020-03-13,52
2020-03-14,24
2020-03-15,36
2020-03-16,47
2020-03-17,37
2020-03-18,22
2020-03-19,32
2020-03-20,45
2020-03-21,43
2020-03-22,64
2020-03-23,14
2020-03-24,26
2020-03-25,37
2020-03-26,31
2020-03-27,14
2020-03-28,51
2020-03-29,24
2020-03-30,34
2020-03-31,24
2020-04-01,30
2020-04-02,48
2020-04-03,29
2020-04-04,26
2020-04-05,30
2020-04-06,39
2020-04-07,31
2020-04-08,47
2020-04-09,26
2020-04-10,53
2020-04-11,61
2020-04-12,52
2020-04-13,65
2020-04-14,29
2020-04-15,36
2020-04-16,42
2020-04-17,47
2020-04-18,61
2020-04-19,73
2020-04-20,49
2020-04-21,56
2020-04-22,58
2020-04-23,46
2020-04-24,55
2020-04-25,34
2020-04-26,70
2020-04-27,61
2020-04-28,56
2020-04-29,50
2020-04-30,48
2020-05-01,64
2020-05-02,61
2020-05-03,64
2020-05-04,62
2020-05-05,68
2020-05-06,40
2020-05-07,47
2020-05-08,63
2020-05-09,57
2020-05-10,32
2020-05-11,74
2020-05-12,78
2020-05-13,52
2020-05-14,40
2020-05-15,52
2020-05-16,58
2020-05-17,84
2020-05-18,61
2020-05-19,23
2020-05-20,53
2020-05-21,35
2020-05-22,25
2020-05-23,95
2020-05-24,84
2020-05-25,81
2020-05-26,67
2020-05-27,61
2020-05-28,69
2020-05-29,58
2020-05-30,35
2020-05-31,41
